dataset_scope,model_name,mean_valid_auc,std_valid_auc,min_valid_auc,max_valid_auc,fold_range,stability_bucket,caution
overall_without_promotion,LogisticRegression,0.7860976036142333,0.0030622374795236844,0.7828685706503513,0.7899557016674293,0.00708713101707803,stable,Descriptive stability diagnostic.
overall_without_promotion,HistGradientBoosting,0.8140052616727749,0.005126816878759007,0.8084398213428745,0.8186887035777748,0.01024888223490028,stable,Descriptive stability diagnostic.
overall_without_promotion,RandomForest,0.8076680119711858,0.006397740517438921,0.8000998947549811,0.8136759000024087,0.013576005247427636,stable,Descriptive stability diagnostic.
overall_without_promotion,GradientBoosting,0.8124581749577333,0.005436357847877068,0.8049411887869585,0.8170806134228162,0.01213942463585771,stable,Descriptive stability diagnostic.
overall_without_promotion,ExtraTrees,0.7836841259084805,0.004767464304812887,0.778361150936546,0.7880976919975438,0.00973654106099775,stable,Descriptive stability diagnostic.
overall_without_promotion,LightGBM,0.8136612105564179,0.0045819696662496015,0.8069351464628964,0.8177342257542713,0.010799079291374913,stable,Descriptive stability diagnostic.
overall_without_promotion,XGBoost,0.8155197019138093,0.00560157047979093,0.8089376738256748,0.8202747904827372,0.011337116657062385,stable,Descriptive stability diagnostic.
overall_with_promotion,LogisticRegression,0.7924071546561919,0.0028263378899583257,0.7895767825411855,0.7967917640213973,0.007214981480211824,stable,Descriptive stability diagnostic.
overall_with_promotion,HistGradientBoosting,0.8214091194203693,0.0057101249583655905,0.813065136105156,0.8286864013429858,0.015621265237829807,stable,Descriptive stability diagnostic.
overall_with_promotion,RandomForest,0.8112184754575157,0.005992914770742448,0.8038028101161214,0.8173569279201324,0.013554117804010946,stable,Descriptive stability diagnostic.
overall_with_promotion,GradientBoosting,0.8203476275813945,0.005077135312594218,0.8130973303340974,0.8259017163461448,0.012804386012047475,stable,Descriptive stability diagnostic.
overall_with_promotion,ExtraTrees,0.7900114801153209,0.004269712058849814,0.7841861020987858,0.7954182979953417,0.011232195896555885,stable,Descriptive stability diagnostic.
overall_with_promotion,LightGBM,0.8230846855733638,0.004312379824066224,0.8163549693992695,0.8272384716866811,0.010883502287411528,stable,Descriptive stability diagnostic.
overall_with_promotion,XGBoost,0.8236880001198136,0.005270136181261188,0.8157772103770107,0.8291151172981677,0.013337906921156994,stable,Descriptive stability diagnostic.
promotion_only,LogisticRegression,0.77108049508726,0.0077908988836785905,0.7609513800506511,0.7797127718458162,0.018761391795165117,stable,Descriptive stability diagnostic.
promotion_only,HistGradientBoosting,0.7969571606842821,0.006219963500855166,0.7862150809261187,0.8014133669722776,0.015198286046158915,stable,Descriptive stability diagnostic.
promotion_only,RandomForest,0.7936646599283943,0.006975019388438803,0.7850813760654094,0.8019853835608504,0.016904007495440965,stable,Descriptive stability diagnostic.
promotion_only,GradientBoosting,0.7985776445264474,0.006673874975068207,0.7877380699859875,0.8037874984714204,0.016049428485432893,stable,Descriptive stability diagnostic.
promotion_only,ExtraTrees,0.7726801292549977,0.004460819327674061,0.7666994484939642,0.7781540386133663,0.011454590119402086,stable,Descriptive stability diagnostic.
promotion_only,LightGBM,0.7960364909624846,0.0070169815356431395,0.7835519591962666,0.800085922264486,0.016533963068219415,stable,Descriptive stability diagnostic.
promotion_only,XGBoost,0.8006693584473343,0.007089787282580306,0.788477669790582,0.8059291189588924,0.01745144916831043,stable,Descriptive stability diagnostic.
nonpromotion_only,LogisticRegression,0.8121255286547011,0.00945400494951555,0.8037228490481636,0.8228268701979611,0.01910402114979748,stable,Descriptive stability diagnostic.
nonpromotion_only,HistGradientBoosting,0.8284879706682327,0.010718089755821678,0.8159191698284098,0.8395157511295014,0.023596581301091546,stable,Descriptive stability diagnostic.
nonpromotion_only,RandomForest,0.8307334681338873,0.009759556548262313,0.8174137143602793,0.8425117743917071,0.025098060031427782,stable,Descriptive stability diagnostic.
nonpromotion_only,GradientBoosting,0.8330703646793657,0.012867573316180799,0.8193185173389599,0.8464269877130531,0.027108470374093252,stable,Descriptive stability diagnostic.
nonpromotion_only,ExtraTrees,0.8053224046768122,0.008308158630216509,0.7947540233088171,0.8139024826927669,0.019148459383949823,stable,Descriptive stability diagnostic.
nonpromotion_only,LightGBM,0.827370722519678,0.009834595735881961,0.815038299893412,0.8381447662749882,0.023106466381576207,stable,Descriptive stability diagnostic.
nonpromotion_only,XGBoost,0.8331030756103648,0.009942192452973713,0.8211861645431902,0.84316311195597,0.02197694741277989,stable,Descriptive stability diagnostic.
