final_segment_key,final_segment_en,scenario,n,churn_rate,reachable_users,treated_users,expected_responders,baseline_churners,treated_expected_churners,incremental_retained_users,incremental_retention_lift_used,post_action_churners,post_action_churn_rate,churn_rate_reduction_pp,cost_per_contact,gross_margin_per_retained_user,campaign_cost,net_value,roi,financial_status,simulation_role,assumption_source,caution
최상위_이탈위험군,top_highest_risk,low,463,0.8251,393.6,334.5,33.5,382.0,276.0,3.3,0.01,378.7,0.8179,0.0072,,,,,,assumption_required_no_profit_claim,primary_target,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
최상위_이탈위험군,top_highest_risk,base,463,0.8251,393.6,334.5,33.5,382.0,276.0,10.0,0.03,372.0,0.8034,0.0217,,,,,,assumption_required_no_profit_claim,primary_target,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
최상위_이탈위험군,top_highest_risk,high,463,0.8251,393.6,334.5,33.5,382.0,276.0,16.7,0.05,365.3,0.789,0.0361,,,,,,assumption_required_no_profit_claim,primary_target,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
초기중기_저관여_고위험군,low_engagement_high_risk,low,434,0.576,368.9,295.1,29.5,250.0,170.0,3.0,0.01,247.0,0.5692,0.0068,,,,,,assumption_required_no_profit_claim,primary_target,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
초기중기_저관여_고위험군,low_engagement_high_risk,base,434,0.576,368.9,295.1,29.5,250.0,170.0,8.9,0.03,241.1,0.5556,0.0204,,,,,,assumption_required_no_profit_claim,primary_target,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
초기중기_저관여_고위험군,low_engagement_high_risk,high,434,0.576,368.9,295.1,29.5,250.0,170.0,14.8,0.05,235.2,0.542,0.034,,,,,,assumption_required_no_profit_claim,primary_target,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
주차별이용패턴_고위험군,weekly_pattern_high_risk,low,1084,0.3755,867.2,650.4,52.0,407.0,244.2,6.5,0.01,400.5,0.3695,0.006,,,,,,assumption_required_no_profit_claim,primary_target,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
주차별이용패턴_고위험군,weekly_pattern_high_risk,base,1084,0.3755,867.2,650.4,52.0,407.0,244.2,19.5,0.03,387.5,0.3575,0.018,,,,,,assumption_required_no_profit_claim,primary_target,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
주차별이용패턴_고위험군,weekly_pattern_high_risk,high,1084,0.3755,867.2,650.4,52.0,407.0,244.2,32.5,0.05,374.5,0.3455,0.03,,,,,,assumption_required_no_profit_claim,primary_target,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
장르비율_추천후보군,genre_affinity_recommendation_pool,low,2209,0.1182,1656.8,911.2,63.8,261.1,107.7,4.6,0.005,256.5,0.1161,0.0021,,,,,,assumption_required_no_profit_claim,secondary_recommendation,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
장르비율_추천후보군,genre_affinity_recommendation_pool,base,2209,0.1182,1656.8,911.2,63.8,261.1,107.7,13.7,0.015,247.4,0.112,0.0062,,,,,,assumption_required_no_profit_claim,secondary_recommendation,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
장르비율_추천후보군,genre_affinity_recommendation_pool,high,2209,0.1182,1656.8,911.2,63.8,261.1,107.7,27.3,0.03,233.8,0.1058,0.0124,,,,,,assumption_required_no_profit_claim,secondary_recommendation,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
안정유지_후보군,stable_maintenance_candidates,low,354,0.0508,247.8,74.3,3.7,18.0,3.8,0.0,0.0,18.0,0.0508,0.0,,,,,,assumption_required_no_profit_claim,maintenance_only,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
안정유지_후보군,stable_maintenance_candidates,base,354,0.0508,247.8,74.3,3.7,18.0,3.8,0.4,0.005,17.6,0.0497,0.0011,,,,,,assumption_required_no_profit_claim,maintenance_only,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
안정유지_후보군,stable_maintenance_candidates,high,354,0.0508,247.8,74.3,3.7,18.0,3.8,0.7,0.01,17.2,0.0487,0.0021,,,,,,assumption_required_no_profit_claim,maintenance_only,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
일반관찰군,general_observation,low,81,0.3333,48.6,9.7,0.4,27.0,3.2,0.0,0.0,27.0,0.3333,0.0,,,,,,assumption_required_no_profit_claim,residual_monitoring,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
일반관찰군,general_observation,base,81,0.3333,48.6,9.7,0.4,27.0,3.2,0.0,0.0,27.0,0.3333,0.0,,,,,,assumption_required_no_profit_claim,residual_monitoring,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
일반관찰군,general_observation,high,81,0.3333,48.6,9.7,0.4,27.0,3.2,0.0,0.005,26.9,0.3327,0.0006,,,,,,assumption_required_no_profit_claim,residual_monitoring,editable_placeholder_assumption_not_fact,"incremental_retained_users is an assumption-based estimate, NOT a guaranteed or causal outcome."
