duplicate_group_id,duplicate_type,group_size_after_prior_exclusions,kept_membership_row_id,removed_membership_row_ids,removed_count,reason_code,source_rule_name
1,exact_duplicate_all_membership_columns,2,48,49,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
2,exact_duplicate_all_membership_columns,2,648,649,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
3,exact_duplicate_all_membership_columns,2,768,769,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
4,exact_duplicate_all_membership_columns,2,1109,1110,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
5,exact_duplicate_all_membership_columns,2,1337,1338,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
6,exact_duplicate_all_membership_columns,2,1718,1719,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
7,exact_duplicate_all_membership_columns,2,1748,1749,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
8,exact_duplicate_all_membership_columns,2,1906,1907,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
9,exact_duplicate_all_membership_columns,2,1971,1972,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
10,exact_duplicate_all_membership_columns,2,2028,2029,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
11,exact_duplicate_all_membership_columns,2,2244,2245,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
12,exact_duplicate_all_membership_columns,2,3366,3367,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
13,exact_duplicate_all_membership_columns,2,4880,4881,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
14,exact_duplicate_all_membership_columns,2,5192,5193,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
15,exact_duplicate_all_membership_columns,2,5606,5607,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
16,exact_duplicate_all_membership_columns,2,5776,5777,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
17,exact_duplicate_all_membership_columns,2,5837,5838,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
18,exact_duplicate_all_membership_columns,2,6368,6369,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
19,exact_duplicate_all_membership_columns,2,6603,6604,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
20,exact_duplicate_all_membership_columns,3,7182,7183|7184,2,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
21,exact_duplicate_all_membership_columns,2,7318,7319,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
22,exact_duplicate_all_membership_columns,2,7457,7458,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
23,exact_duplicate_all_membership_columns,2,7597,7598,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
24,exact_duplicate_all_membership_columns,2,7622,7623,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
25,exact_duplicate_all_membership_columns,2,7751,7752,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
26,exact_duplicate_all_membership_columns,2,7783,7784,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
27,exact_duplicate_all_membership_columns,2,8547,8548,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
28,exact_duplicate_all_membership_columns,2,8787,8788,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
29,exact_duplicate_all_membership_columns,2,8846,8847,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
30,exact_duplicate_all_membership_columns,2,9227,9228,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
31,exact_duplicate_all_membership_columns,2,9336,9337,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
32,exact_duplicate_all_membership_columns,2,9365,9366,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
33,exact_duplicate_all_membership_columns,2,9461,9462,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
34,exact_duplicate_all_membership_columns,2,9560,9561,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
35,exact_duplicate_all_membership_columns,2,9875,9876,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
36,exact_duplicate_all_membership_columns,2,10284,10285,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
37,exact_duplicate_all_membership_columns,3,10692,10693|10694,2,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
38,exact_duplicate_all_membership_columns,3,10759,10760|10761,2,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
39,exact_duplicate_all_membership_columns,2,11493,11494,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
40,exact_duplicate_all_membership_columns,2,11649,11650,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
41,exact_duplicate_all_membership_columns,2,12034,12035,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
42,exact_duplicate_all_membership_columns,2,12482,12483,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
43,exact_duplicate_all_membership_columns,2,12654,12655,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
44,exact_duplicate_all_membership_columns,2,12766,12767,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
45,exact_duplicate_all_membership_columns,3,13375,13376|13377,2,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
46,exact_duplicate_all_membership_columns,2,14223,14224,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
47,exact_duplicate_all_membership_columns,2,14380,14381,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
48,exact_duplicate_all_membership_columns,2,14643,14644,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
49,exact_duplicate_all_membership_columns,2,15755,15756,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
