window,column,role,dtype
w1_1,membership_row_id,metadata,int64
w1_1,USER_KEY,metadata,str
w1_1,is_repurchase_label,target,Int64
w1_1,price_num,candidate_feature,float64
w1_1,max_screen_num,candidate_feature,float64
w1_1,is_promotion_bin,candidate_feature,float64
w1_1,is_user_verified_bin,candidate_feature,float64
w1_1,age_num,candidate_feature,float64
w1_1,gender_clean,candidate_feature,str
w1_1,payment_device_clean,candidate_feature,str
w1_1,billing_method_clean,candidate_feature,int64
w1_1,is_churn_prevented_bin,candidate_feature,float64
w1_1,w1_1_has_watch_obs,candidate_feature,int64
w1_1,w1_1_total_watch_time,candidate_feature,float64
w1_1,w1_1_total_sessions,candidate_feature,int64
w1_1,w1_1_unique_contents,candidate_feature,int64
w1_1,w1_1_unique_watch_days,candidate_feature,int64
w1_1,w1_1_avg_watch_time_per_session,candidate_feature,float64
w1_1,w1_1_max_daily_watch_time,candidate_feature,float64
w1_1,w1_1_max_day_share,candidate_feature,float64
w1_1,w1_1_one_minute_watch_count,candidate_feature,int64
w1_1,w1_1_short_watch_count_le5,candidate_feature,int64
w1_1,w1_1_short_watch_time_le5,candidate_feature,float64
w1_1,w1_1_week1_watch_time,candidate_feature,float64
w1_1,w1_1_week1_sessions,candidate_feature,int64
w1_1,w1_1_week1_ratio,candidate_feature,float64
w1_1,w1_1_genre_covered_watch_time,candidate_feature,float64
w1_1,w1_1_genre_unique_count,candidate_feature,int64
w1_1,w1_1_genre_entropy,candidate_feature,float64
w1_1,w1_1_top_genre,candidate_feature,str
w1_1,w1_1_top_genre_watch_time,candidate_feature,float64
w1_1,w1_1_content_has_watch_obs,candidate_feature,int64
w1_1,w1_1_genre_missing_watch_time,candidate_feature,float64
w1_1,w1_1_genre_covered_watch_ratio,candidate_feature,float64
w1_1,w1_1_genre_missing_watch_ratio,candidate_feature,float64
w1_1,w1_1_top_genre_watch_ratio,candidate_feature,float64
w1_1,w1_1_release_month_covered_watch_ratio,candidate_feature,float64
w1_1,w1_1_avg_ott_release_month_weighted,candidate_feature,float64
w1_1,w1_1_recent_content_watch_ratio,candidate_feature,float64
w1_1,w1_1_old_content_watch_ratio,candidate_feature,float64
w1_1,w1_1_genre_ratio_drama,candidate_feature,float64
w1_1,w1_1_genre_watch_time_drama,candidate_feature,float64
w1_1,w1_1_genre_session_count_drama,candidate_feature,int64
w1_1,w1_1_genre_ratio_thriller_crime,candidate_feature,float64
w1_1,w1_1_genre_watch_time_thriller_crime,candidate_feature,float64
w1_1,w1_1_genre_session_count_thriller_crime,candidate_feature,int64
w1_1,w1_1_genre_ratio_horror,candidate_feature,float64
w1_1,w1_1_genre_watch_time_horror,candidate_feature,float64
w1_1,w1_1_genre_session_count_horror,candidate_feature,int64
w1_1,w1_1_genre_ratio_comedy,candidate_feature,float64
w1_1,w1_1_genre_watch_time_comedy,candidate_feature,float64
w1_1,w1_1_genre_session_count_comedy,candidate_feature,int64
w1_1,w1_1_genre_ratio_action_adventure,candidate_feature,float64
w1_1,w1_1_genre_watch_time_action_adventure,candidate_feature,float64
w1_1,w1_1_genre_session_count_action_adventure,candidate_feature,int64
w1_1,w1_1_genre_ratio_sf_fantasy,candidate_feature,float64
w1_1,w1_1_genre_watch_time_sf_fantasy,candidate_feature,float64
w1_1,w1_1_genre_session_count_sf_fantasy,candidate_feature,int64
w1_1,w1_1_genre_ratio_romance,candidate_feature,float64
w1_1,w1_1_genre_watch_time_romance,candidate_feature,float64
w1_1,w1_1_genre_session_count_romance,candidate_feature,int64
w1_1,w1_1_genre_ratio_documentary,candidate_feature,float64
w1_1,w1_1_genre_watch_time_documentary,candidate_feature,float64
w1_1,w1_1_genre_session_count_documentary,candidate_feature,int64
w1_1,w1_1_genre_ratio_animation_family,candidate_feature,float64
w1_1,w1_1_genre_watch_time_animation_family,candidate_feature,float64
