feature_name,dtype,feature_type,AARRR_stage_primary,feature_family,timing_family,selected_for_deep_dive,reason_for_deep_dive,appeared_in_09_top_signals,appeared_in_09_common_or_different_signals,safe_interpretation_boundary
avg_gap_w1_watch_days,float64,gap,retention,usage_observation,week1_observation,no,catalog only,no,no,"descriptive row-level association only; no causality, no p-value, no final threshold"
avg_gap_w2_watch_days,float64,gap,retention,usage_observation,week2_observation,no,catalog only,no,no,"descriptive row-level association only; no causality, no p-value, no final threshold"
avg_gap_w3_watch_days,float64,gap,retention,usage_observation,week3_observation,no,catalog only,yes,yes,"descriptive row-level association only; no causality, no p-value, no final threshold"
is_cold_start_3d,int64,binary,activation,activation_onboarding,early_activation,yes,09 top/common signal or requested Step 10 focus feature,yes,yes,"descriptive row-level association only; no causality, no p-value, no final threshold"
is_cold_start_7d,int64,binary,activation,activation_onboarding,week1_observation,yes,09 top/common signal or requested Step 10 focus feature,no,no,"descriptive row-level association only; no causality, no p-value, no final threshold"
watch_time(min)_w1,int64,continuous_time,activation,usage_observation,week1_observation,no,catalog only,no,no,"descriptive row-level association only; no causality, no p-value, no final threshold"
watch_time(min)_w2,int64,continuous_time,retention,usage_observation,week2_observation,yes,09 top/common signal or requested Step 10 focus feature,no,no,"descriptive row-level association only; no causality, no p-value, no final threshold"
watch_time(min)_w3,int64,continuous_time,retention,usage_observation,week3_observation,yes,09 top/common signal or requested Step 10 focus feature,yes,yes,"descriptive row-level association only; no causality, no p-value, no final threshold"
watch_session_w1,int64,count,activation,usage_observation,week1_observation,no,catalog only,no,no,"descriptive row-level association only; no causality, no p-value, no final threshold"
watch_session_w2,int64,count,retention,usage_observation,week2_observation,yes,09 top/common signal or requested Step 10 focus feature,no,no,"descriptive row-level association only; no causality, no p-value, no final threshold"
watch_session_w3,int64,count,retention,usage_observation,week3_observation,yes,09 top/common signal or requested Step 10 focus feature,yes,yes,"descriptive row-level association only; no causality, no p-value, no final threshold"
retention_w2_ratio,float64,ratio,retention,retention_ratio,week1_to_week2_change,yes,09 top/common signal or requested Step 10 focus feature,no,no,"descriptive row-level association only; no causality, no p-value, no final threshold"
retention_w3_ratio,float64,ratio,retention,retention_ratio,week1_to_week3_change,yes,09 top/common signal or requested Step 10 focus feature,yes,yes,"descriptive row-level association only; no causality, no p-value, no final threshold"
diff_between_w2_w1,int64,retention_change,retention,retention_change,week1_to_week2_change,yes,09 top/common signal or requested Step 10 focus feature,yes,yes,"descriptive row-level association only; no causality, no p-value, no final threshold"
diff_between_w3_w1,int64,retention_change,retention,retention_change,week1_to_week3_change,yes,09 top/common signal or requested Step 10 focus feature,yes,yes,"descriptive row-level association only; no causality, no p-value, no final threshold"
diff_between_w3_w2,int64,retention_change,retention,retention_change,week2_to_week3_change,yes,09 top/common signal or requested Step 10 focus feature,yes,yes,"descriptive row-level association only; no causality, no p-value, no final threshold"
is_w1_over_50pct,int64,binary,activation,usage_observation,week1_observation,yes,09 top/common signal or requested Step 10 focus feature,yes,yes,"descriptive row-level association only; no causality, no p-value, no final threshold"
is_w2_over_50pct,int64,binary,retention,usage_observation,week2_observation,no,catalog only,yes,yes,"descriptive row-level association only; no causality, no p-value, no final threshold"
is_w3_over_50pct,int64,binary,retention,usage_observation,week3_observation,no,catalog only,no,no,"descriptive row-level association only; no causality, no p-value, no final threshold"
is_only_w1,int64,binary,activation,usage_observation,week1_observation,yes,09 top/common signal or requested Step 10 focus feature,yes,yes,"descriptive row-level association only; no causality, no p-value, no final threshold"
is_only_w2,int64,binary,retention,usage_observation,week2_observation,no,catalog only,no,no,"descriptive row-level association only; no causality, no p-value, no final threshold"
is_only_w3,int64,binary,retention,usage_observation,week3_observation,no,catalog only,no,no,"descriptive row-level association only; no causality, no p-value, no final threshold"
