USER_NUM,MOVIE_NUM,watch_time(min),watch_day,watch_seq,movie_title,genre,country,showTM,ott_release_month,USER_KEY,product_code,price,billing_method,max_screen,is_promotion,is_churn_prevented,is_repurchase,payment_device,is_user_verified,gender,age,reg_date,reg_hour,end_date
0,4243,1,20210314,1,코마,"액션, SF",러시아,1시간 50분,202011.0,ce6c11de3c6c21a993965a45943bce46f068b56869feca3b439ba5879100de86f972127bcbea5fa5a1d53c8ad30ccc18b88408227ce092887a29c446f0657ee5,pk_1489,13900.0,134.0,4.0,0.0,0.0,1.0,android,0.0,N,40.0,2021-03-11,12.0,2021-04-11
0,4243,111,20210314,2,코마,"액션, SF",러시아,1시간 50분,202011.0,ce6c11de3c6c21a993965a45943bce46f068b56869feca3b439ba5879100de86f972127bcbea5fa5a1d53c8ad30ccc18b88408227ce092887a29c446f0657ee5,pk_1489,13900.0,134.0,4.0,0.0,0.0,1.0,android,0.0,N,40.0,2021-03-11,12.0,2021-04-11
0,1860,101,20210319,1,이퀼리브리엄,"액션, SF, 스릴러, 드라마",미국,1시간 47분,201403.0,ce6c11de3c6c21a993965a45943bce46f068b56869feca3b439ba5879100de86f972127bcbea5fa5a1d53c8ad30ccc18b88408227ce092887a29c446f0657ee5,pk_1489,13900.0,134.0,4.0,0.0,0.0,1.0,android,0.0,N,40.0,2021-03-11,12.0,2021-04-11
0,2170,1,20210325,1,소울,"판타지, 애니메이션, 가족, 드라마, 음악, 코미디",미국,1시간 41분,202103.0,ce6c11de3c6c21a993965a45943bce46f068b56869feca3b439ba5879100de86f972127bcbea5fa5a1d53c8ad30ccc18b88408227ce092887a29c446f0657ee5,pk_1489,13900.0,134.0,4.0,0.0,0.0,1.0,android,0.0,N,40.0,2021-03-11,12.0,2021-04-11
0,6031,100,20210326,1,당신이잠든사이에(1995),"SF, 드라마, 판타지, 로맨스, 스릴러, 코미디",대한민국,37분,201612.0,ce6c11de3c6c21a993965a45943bce46f068b56869feca3b439ba5879100de86f972127bcbea5fa5a1d53c8ad30ccc18b88408227ce092887a29c446f0657ee5,pk_1489,13900.0,134.0,4.0,0.0,0.0,1.0,android,0.0,N,40.0,2021-03-11,12.0,2021-04-11
0,2170,1,20210328,1,소울,"판타지, 애니메이션, 가족, 드라마, 음악, 코미디",미국,1시간 41분,202103.0,ce6c11de3c6c21a993965a45943bce46f068b56869feca3b439ba5879100de86f972127bcbea5fa5a1d53c8ad30ccc18b88408227ce092887a29c446f0657ee5,pk_1489,13900.0,134.0,4.0,0.0,0.0,1.0,android,0.0,N,40.0,2021-03-11,12.0,2021-04-11
0,6031,100,20210328,2,당신이잠든사이에(1995),"SF, 드라마, 판타지, 로맨스, 스릴러, 코미디",대한민국,37분,201612.0,ce6c11de3c6c21a993965a45943bce46f068b56869feca3b439ba5879100de86f972127bcbea5fa5a1d53c8ad30ccc18b88408227ce092887a29c446f0657ee5,pk_1489,13900.0,134.0,4.0,0.0,0.0,1.0,android,0.0,N,40.0,2021-03-11,12.0,2021-04-11
0,12495,3,20210328,3,스피드(1994),"스릴러, 액션",미국,1시간 56분,201709.0,ce6c11de3c6c21a993965a45943bce46f068b56869feca3b439ba5879100de86f972127bcbea5fa5a1d53c8ad30ccc18b88408227ce092887a29c446f0657ee5,pk_1489,13900.0,134.0,4.0,0.0,0.0,1.0,android,0.0,N,40.0,2021-03-11,12.0,2021-04-11
0,2170,92,20210328,4,소울,"판타지, 애니메이션, 가족, 드라마, 음악, 코미디",미국,1시간 41분,202103.0,ce6c11de3c6c21a993965a45943bce46f068b56869feca3b439ba5879100de86f972127bcbea5fa5a1d53c8ad30ccc18b88408227ce092887a29c446f0657ee5,pk_1489,13900.0,134.0,4.0,0.0,0.0,1.0,android,0.0,N,40.0,2021-03-11,12.0,2021-04-11
4,2198,200,20210307,1,어니스트씨프,"액션, 범죄, 드라마, 스릴러",미국,1시간 39분,202102.0,8668c3dfce041e29bc5b80fe33fb8754718587a7537db1db648763e7adaae9383a58da158afa270a1f18e104268fb7bbfc8af44687909e086dcd0ad293d46acd,pk_1508,9.99,140.0,1.0,0.0,0.0,0.0,ios,0.0,N,40.0,2021-03-07,12.0,2021-04-08
4,2198,1,20210307,2,어니스트씨프,"액션, 범죄, 드라마, 스릴러",미국,1시간 39분,202102.0,8668c3dfce041e29bc5b80fe33fb8754718587a7537db1db648763e7adaae9383a58da158afa270a1f18e104268fb7bbfc8af44687909e086dcd0ad293d46acd,pk_1508,9.99,140.0,1.0,0.0,0.0,0.0,ios,0.0,N,40.0,2021-03-07,12.0,2021-04-08
