feature_a,feature_b,corr_method,corr,abs_corr,corr_direction,non_null_pair_n,severity,recommendation,a_feature_family,a_feature_type,a_decision,a_p_value_fdr_by_group_family,a_abs_diff,a_effect_size,b_feature_family,b_feature_type,b_decision,b_p_value_fdr_by_group_family,b_abs_diff,b_effect_size
daily_watch_slope,w3_minus_w1_watch_time,spearman,1.0,1.0,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,weekly_recency_binge,numeric,NEEDS_REVIEW_WEAK_EFFECT,0.0775413361790224,0.528226159801159,0.0405226065756308,weekly_recency_binge,numeric,NEEDS_REVIEW_WEAK_EFFECT,0.0775413361790224,7.395166237216224,0.0405226065756303
front_loaded_ratio,week1_ratio,spearman,1.0,1.0,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,weekly_recency_binge,numeric,NEEDS_REVIEW_WEAK_EFFECT,0.0745049511748446,0.0155546617895945,0.0445071291071188
has_content_feature,has_usage_feature,spearman,1.0,1.0,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_content_feature,has_watch_obs,spearman,1.0,1.0,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_content_feature,no_content_feature_flag,spearman,-1.0,1.0,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_content_feature,no_usage_feature_flag,spearman,-1.0,1.0,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_content_feature,no_watch_obs_flag,spearman,-1.0,1.0,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_prior_churn_prevention_benefit,is_churn_prevented,spearman,1.0,1.0,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,membership,binary,KEEP_CORE,2.303132354210681e-22,0.137934714835389,0.1036809258417083,membership,binary,KEEP_CORE,2.303132354210681e-22,0.137934714835389,0.1036809258417083
has_usage_feature,has_watch_obs,spearman,1.0,1.0,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_usage_feature,no_content_feature_flag,spearman,-1.0,1.0,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
