original_feature,feature_family,mean_abs_shap,mean_shap,rank,shap_direction
w1_3_week3_watch_time,weekly_usage_pattern,0.8313802874843351,-0.040797365469091205,1,pushes_toward_churn_risk
w1_3_genre_ratio_drama,genre_ratio_proxy,0.31975422978755313,-0.00288414375947516,2,pushes_toward_churn_risk
w1_3_week1_watch_time,weekly_usage_pattern,0.3002140414236166,0.007778997655078161,3,pushes_toward_repurchase_score
w1_3_week2_watch_time,weekly_usage_pattern,0.28744723741443434,0.02704357907012098,4,pushes_toward_repurchase_score
is_promotion_bin,membership_context,0.2699549164052647,-0.0008421096004924786,5,pushes_toward_churn_risk
w1_3_genre_ratio_animation_family,genre_ratio_proxy,0.2603052366140704,0.006039083535326279,6,pushes_toward_repurchase_score
w1_3_genre_ratio_thriller_crime,genre_ratio_proxy,0.21643027303903403,-0.004242903667652258,7,pushes_toward_churn_risk
w1_3_genre_ratio_romance,genre_ratio_proxy,0.215473502192298,-0.0077495932513487525,8,pushes_toward_churn_risk
w1_3_genre_ratio_action_adventure,genre_ratio_proxy,0.17089408911968418,-0.005752542073194466,9,pushes_toward_churn_risk
w1_3_avg_watch_time_per_session,simple_usage_volume,0.15787972924166252,-0.02193289813584564,10,pushes_toward_churn_risk
w1_3_unique_contents,simple_usage_volume,0.12858537705443493,-0.01882912223763754,11,pushes_toward_churn_risk
max_screen_num,membership_context,0.12279001372777117,-0.0008728501013173013,12,pushes_toward_churn_risk
age_num,membership_context,0.06928682062077632,-0.0024545169957703376,13,pushes_toward_churn_risk
w1_3_genre_ratio_horror,genre_ratio_proxy,0.06218368578111756,-0.002647555700496874,14,pushes_toward_churn_risk
w1_3_week3_sessions,weekly_usage_pattern,0.058164614469764196,0.0071112525650081915,15,pushes_toward_repurchase_score
w1_3_genre_ratio_other,genre_ratio_proxy,0.046331560453243624,-2.014483363302233e-06,16,pushes_toward_churn_risk
w1_3_recent_content_watch_ratio,release_month_proxy,0.038996161817576466,-0.0011931855431605983,17,pushes_toward_churn_risk
w1_3_genre_ratio_sf_fantasy,genre_ratio_proxy,0.03770391014363998,1.9691612134915548e-06,18,pushes_toward_repurchase_score
w1_3_unique_watch_days,simple_usage_volume,0.03652808024417161,-0.0022280737455303828,19,pushes_toward_churn_risk
w1_3_genre_entropy,genre_ratio_proxy,0.03412272889546732,-0.0030068238067976604,20,pushes_toward_churn_risk
w1_3_genre_ratio_comedy,genre_ratio_proxy,0.03097341908087505,-0.00020294237329663978,21,pushes_toward_churn_risk
w1_3_genre_ratio_historical_war,genre_ratio_proxy,0.027226168715975982,-0.0026141138424187827,22,pushes_toward_churn_risk
w1_3_week1_sessions,weekly_usage_pattern,0.02120463212223834,0.00010108335660131057,23,pushes_toward_repurchase_score
price_num,membership_context,0.02062724950311401,-0.00019182708226471052,24,pushes_toward_churn_risk
billing_method_clean,membership_context,0.013888869258821717,-0.00012188888300578874,25,pushes_toward_churn_risk
is_user_verified_bin,membership_context,0.013293014504452283,-0.0004277599137508006,26,pushes_toward_churn_risk
w1_3_genre_ratio_documentary,genre_ratio_proxy,0.01119898220386328,-0.0007256463881654304,27,pushes_toward_churn_risk
w1_3_week2_sessions,weekly_usage_pattern,0.008261209904457239,0.0022113021583103987,28,pushes_toward_repurchase_score
