old_step_name,old_output_folder,dataset_scope,ladder_step,feature_count_in_old_step,issue,contaminated_ladder_step,contaminated_feature,why_invalidates_interpretation,action_taken,downstream_policy
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,overall_without_promotion,L0_dummy_prior,0,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,overall_without_promotion,L1_activation_safe,6,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,overall_without_promotion,L2_add_week2_retention,14,diff_between_w3_w2 included in L2_add_week2_retention,L2_add_week2_retention,diff_between_w3_w2,L2 already contains week3 information (w3-w2 change). This inflates L1-to-L2 AUC gain interpretation. Old Step 11 L2 metrics must not be used as final evidence.,Removed from L2; confirmed in L3 only (Step 11b canonical correction),11b is canonical Step 11. Steps 12/16/17 use 11b results only.
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,overall_without_promotion,L3_add_week3_retention,21,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,overall_without_promotion,L4_all_conservative_behavior,22,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,overall_with_promotion,L0_dummy_prior,0,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,overall_with_promotion,L1_activation_safe,6,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,overall_with_promotion,L2_add_week2_retention,14,diff_between_w3_w2 included in L2_add_week2_retention,L2_add_week2_retention,diff_between_w3_w2,L2 already contains week3 information (w3-w2 change). This inflates L1-to-L2 AUC gain interpretation. Old Step 11 L2 metrics must not be used as final evidence.,Removed from L2; confirmed in L3 only (Step 11b canonical correction),11b is canonical Step 11. Steps 12/16/17 use 11b results only.
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,overall_with_promotion,L3_add_week3_retention,21,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,overall_with_promotion,L4_all_conservative_behavior,22,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,overall_with_promotion,L5_all_conservative_plus_promotion_indicator,23,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,promotion_only,L0_dummy_prior,0,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,promotion_only,L1_activation_safe,6,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,promotion_only,L2_add_week2_retention,14,diff_between_w3_w2 included in L2_add_week2_retention,L2_add_week2_retention,diff_between_w3_w2,L2 already contains week3 information (w3-w2 change). This inflates L1-to-L2 AUC gain interpretation. Old Step 11 L2 metrics must not be used as final evidence.,Removed from L2; confirmed in L3 only (Step 11b canonical correction),11b is canonical Step 11. Steps 12/16/17 use 11b results only.
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,promotion_only,L3_add_week3_retention,21,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,promotion_only,L4_all_conservative_behavior,22,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,nonpromotion_only,L0_dummy_prior,0,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,nonpromotion_only,L1_activation_safe,6,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,nonpromotion_only,L2_add_week2_retention,14,diff_between_w3_w2 included in L2_add_week2_retention,L2_add_week2_retention,diff_between_w3_w2,L2 already contains week3 information (w3-w2 change). This inflates L1-to-L2 AUC gain interpretation. Old Step 11 L2 metrics must not be used as final evidence.,Removed from L2; confirmed in L3 only (Step 11b canonical correction),11b is canonical Step 11. Steps 12/16/17 use 11b results only.
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,nonpromotion_only,L3_add_week3_retention,21,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,nonpromotion_only,L4_all_conservative_behavior,22,no issue,,,,no change needed,no change needed
11_baseline_growth_history_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513,ALL,SUMMARY,,Semantic ladder contamination: diff_between_w3_w2 in L2_add_week2_retention,L2_add_week2_retention,diff_between_w3_w2,Old Step 11 L2 AUC metrics must not be used as final evidence. 11b is canonical.,11b hard-codes corrected ladder lists; does not read L2/L3 from handoff CSV,Steps 12/16/17 reference 11b only. Old Step 11 is deprecated/pre-patch.
