dataset_scope,model_name,ranking_score_used,event_of_interest,k_fraction,top_k_row_count,top_k_nonrepurchase_count,precision_at_k,recall_at_k,lift_at_k,baseline_nonrepurchase_rate,observed_nonrepurchase_rate_in_top_k
overall_without_promotion,LogisticRegression,churn_risk,nonrepurchase,0.1,2308,1601,0.6936741767764298,0.24547684759276295,2.454662116808222,0.282594566489016,0.6936741767764298
overall_without_promotion,LogisticRegression,churn_risk,nonrepurchase,0.2,4616,2926,0.6338821490467937,0.4486353879178166,2.243079748213884,0.282594566489016,0.6338821490467937
overall_without_promotion,HistGradientBoosting,churn_risk,nonrepurchase,0.1,2308,1727,0.7482668977469671,0.26479607482367373,2.6478460185682695,0.282594566489016,0.7482668977469671
overall_without_promotion,HistGradientBoosting,churn_risk,nonrepurchase,0.2,4616,3098,0.6711438474870017,0.4750076663600123,2.3749354271929644,0.282594566489016,0.6711438474870017
overall_without_promotion,RandomForest,churn_risk,nonrepurchase,0.1,2308,1649,0.7144714038128249,0.25283655320453846,2.5282559841453827,0.282594566489016,0.7144714038128249
overall_without_promotion,RandomForest,churn_risk,nonrepurchase,0.2,4616,3053,0.6613951473136915,0.4681079423489727,2.3404383018786703,0.282594566489016,0.6613951473136915
overall_without_promotion,GradientBoosting,churn_risk,nonrepurchase,0.1,2308,1733,0.7508665511265165,0.26571603802514565,2.6570452519854144,0.282594566489016,0.7508665511265165
overall_without_promotion,GradientBoosting,churn_risk,nonrepurchase,0.2,4616,3061,0.6631282495667244,0.4693345599509353,2.346571124156767,0.282594566489016,0.6631282495667244
overall_without_promotion,ExtraTrees,churn_risk,nonrepurchase,0.1,2308,1595,0.6910745233968805,0.244556884391291,2.445462883391077,0.282594566489016,0.6910745233968805
overall_without_promotion,ExtraTrees,churn_risk,nonrepurchase,0.2,4616,2900,0.6282495667244368,0.4446488807114382,2.22314807581007,0.282594566489016,0.6282495667244368
overall_without_promotion,LightGBM,churn_risk,nonrepurchase,0.1,2308,1719,0.7448006932409013,0.26356945722171116,2.635580374012076,0.282594566489016,0.7448006932409013
overall_without_promotion,LightGBM,churn_risk,nonrepurchase,0.2,4616,3104,0.6724436741767764,0.4759276295614842,2.379535043901537,0.282594566489016,0.6724436741767764
overall_without_promotion,XGBoost,churn_risk,nonrepurchase,0.1,2308,1737,0.7525996533795494,0.26632934682612697,2.663178074263511,0.282594566489016,0.7525996533795494
overall_without_promotion,XGBoost,churn_risk,nonrepurchase,0.2,4616,3087,0.6687608318890814,0.4733210671573137,2.366502796560581,0.282594566489016,0.6687608318890814
overall_with_promotion,LogisticRegression,churn_risk,nonrepurchase,0.1,2308,1647,0.7136048526863085,0.25252989880404786,2.5251895730063345,0.282594566489016,0.7136048526863085
overall_with_promotion,LogisticRegression,churn_risk,nonrepurchase,0.2,4616,2937,0.636265164644714,0.4503219871205152,2.251512378846267,0.282594566489016,0.636265164644714
overall_with_promotion,HistGradientBoosting,churn_risk,nonrepurchase,0.1,2308,1733,0.7508665511265165,0.26571603802514565,2.6570452519854144,0.282594566489016,0.7508665511265165
overall_with_promotion,HistGradientBoosting,churn_risk,nonrepurchase,0.2,4616,3127,0.6774263431542461,0.47945415516712664,2.397166907951065,0.282594566489016,0.6774263431542461
overall_with_promotion,RandomForest,churn_risk,nonrepurchase,0.1,2308,1654,0.7166377816291161,0.2536031892057651,2.5359220119930037,0.282594566489016,0.7166377816291161
overall_with_promotion,RandomForest,churn_risk,nonrepurchase,0.2,4616,3058,0.662478336221837,0.4688745783501993,2.3442713158024806,0.282594566489016,0.662478336221837
overall_with_promotion,GradientBoosting,churn_risk,nonrepurchase,0.1,2308,1740,0.7538994800693241,0.2667893284268629,2.6677776909720836,0.282594566489016,0.7538994800693241
overall_with_promotion,GradientBoosting,churn_risk,nonrepurchase,0.2,4616,3090,0.6694107452339688,0.47378104875804966,2.3688026049148676,0.282594566489016,0.6694107452339688
overall_with_promotion,ExtraTrees,churn_risk,nonrepurchase,0.1,2308,1596,0.6915077989601387,0.24471021159153633,2.446996088960601,0.282594566489016,0.6915077989601387
overall_with_promotion,ExtraTrees,churn_risk,nonrepurchase,0.2,4616,2935,0.6358318890814558,0.45001533272002453,2.2499791732767433,0.282594566489016,0.6358318890814558
overall_with_promotion,LightGBM,churn_risk,nonrepurchase,0.1,2308,1732,0.7504332755632582,0.26556271082490035,2.6555120464158906,0.282594566489016,0.7504332755632582
overall_with_promotion,LightGBM,churn_risk,nonrepurchase,0.2,4616,3129,0.6778596187175043,0.4797608095676173,2.398700113520589,0.282594566489016,0.6778596187175043
overall_with_promotion,XGBoost,churn_risk,nonrepurchase,0.1,2308,1741,0.7543327556325823,0.2669426556271082,2.669310896541608,0.282594566489016,0.7543327556325823
overall_with_promotion,XGBoost,churn_risk,nonrepurchase,0.2,4616,3087,0.6687608318890814,0.4733210671573137,2.366502796560581,0.282594566489016,0.6687608318890814
promotion_only,LogisticRegression,churn_risk,nonrepurchase,0.1,1191,863,0.7246011754827876,0.22317041634341866,2.23057987922087,0.3248487903225806,0.7246011754827876
promotion_only,LogisticRegression,churn_risk,nonrepurchase,0.2,2381,1573,0.6606467870642587,0.40677527799327645,2.033705547766469,0.3248487903225806,0.6606467870642587
promotion_only,HistGradientBoosting,churn_risk,nonrepurchase,0.1,1191,903,0.7581863979848866,0.2335143522110163,2.333967127388697,0.3248487903225806,0.7581863979848866
promotion_only,HistGradientBoosting,churn_risk,nonrepurchase,0.2,2381,1658,0.6963460730785385,0.4287561417119214,2.143600634581568,0.3248487903225806,0.6963460730785385
promotion_only,RandomForest,churn_risk,nonrepurchase,0.1,1191,873,0.7329974811083123,0.22575640031031807,2.2564266912628264,0.3248487903225806,0.7329974811083123
promotion_only,RandomForest,churn_risk,nonrepurchase,0.2,2381,1645,0.6908861822763545,0.42539436255495217,2.126793150715729,0.3248487903225806,0.6908861822763545
promotion_only,GradientBoosting,churn_risk,nonrepurchase,0.1,1191,895,0.7514693534844669,0.23144556503749678,2.3132896777551317,0.3248487903225806,0.7514693534844669
promotion_only,GradientBoosting,churn_risk,nonrepurchase,0.2,2381,1664,0.6988660226795465,0.430307732092061,2.1513579348273395,0.3248487903225806,0.6988660226795465
promotion_only,ExtraTrees,churn_risk,nonrepurchase,0.1,1191,864,0.72544080604534,0.22342901474010862,2.2331645604250654,0.3248487903225806,0.72544080604534
promotion_only,ExtraTrees,churn_risk,nonrepurchase,0.2,2381,1597,0.6707265854682907,0.41298163951383504,2.0647347487495558,0.3248487903225806,0.6707265854682907
promotion_only,LightGBM,churn_risk,nonrepurchase,0.1,1191,908,0.762384550797649,0.234807344194466,2.3468905334096752,0.3248487903225806,0.762384550797649
promotion_only,LightGBM,churn_risk,nonrepurchase,0.2,2381,1665,0.6992860142797144,0.430566330488751,2.1526508182016344,0.3248487903225806,0.6992860142797144
promotion_only,XGBoost,churn_risk,nonrepurchase,0.1,1191,916,0.7691015952980689,0.23687613136798552,2.367567983043241,0.3248487903225806,0.7691015952980689
promotion_only,XGBoost,churn_risk,nonrepurchase,0.2,2381,1664,0.6988660226795465,0.430307732092061,2.1513579348273395,0.3248487903225806,0.6988660226795465
nonpromotion_only,LogisticRegression,churn_risk,nonrepurchase,0.1,1118,750,0.6708407871198568,0.2824858757062147,2.8235954034140867,0.23758389261744967,0.6708407871198568
nonpromotion_only,LogisticRegression,churn_risk,nonrepurchase,0.2,2235,1348,0.6031319910514541,0.5077212806026365,2.5386064030131825,0.23758389261744967,0.6031319910514541
nonpromotion_only,HistGradientBoosting,churn_risk,nonrepurchase,0.1,1118,815,0.7289803220035778,0.3069679849340866,3.0683070050433074,0.23758389261744967,0.7289803220035778
nonpromotion_only,HistGradientBoosting,churn_risk,nonrepurchase,0.2,2235,1411,0.6313199105145414,0.5314500941619585,2.657250470809793,0.23758389261744967,0.6313199105145414
nonpromotion_only,RandomForest,churn_risk,nonrepurchase,0.1,1118,783,0.7003577817531306,0.29491525423728815,2.9478336011643065,0.23758389261744967,0.7003577817531306
nonpromotion_only,RandomForest,churn_risk,nonrepurchase,0.2,2235,1409,0.6304250559284116,0.5306967984934087,2.6534839924670433,0.23758389261744967,0.6304250559284116
nonpromotion_only,GradientBoosting,churn_risk,nonrepurchase,0.1,1118,814,0.7280858676207513,0.3065913370998117,3.064542211172089,0.23758389261744967,0.7280858676207513
nonpromotion_only,GradientBoosting,churn_risk,nonrepurchase,0.2,2235,1406,0.629082774049217,0.5295668549905838,2.6478342749529187,0.23758389261744967,0.629082774049217
nonpromotion_only,ExtraTrees,churn_risk,nonrepurchase,0.1,1118,734,0.6565295169946332,0.27645951035781546,2.763358701474586,0.23758389261744967,0.6565295169946332
nonpromotion_only,ExtraTrees,churn_risk,nonrepurchase,0.2,2235,1322,0.5914988814317673,0.49792843691148775,2.4896421845574386,0.23758389261744967,0.5914988814317673
nonpromotion_only,LightGBM,churn_risk,nonrepurchase,0.1,1118,797,0.7128801431127012,0.30018832391713746,3.0005407153613692,0.23758389261744967,0.7128801431127012
nonpromotion_only,LightGBM,churn_risk,nonrepurchase,0.2,2235,1401,0.6268456375838927,0.5276836158192091,2.6384180790960454,0.23758389261744967,0.6268456375838927
nonpromotion_only,XGBoost,churn_risk,nonrepurchase,0.1,1118,821,0.7343470483005367,0.30922787193973633,3.09089576827062,0.23758389261744967,0.7343470483005367
nonpromotion_only,XGBoost,churn_risk,nonrepurchase,0.2,2235,1420,0.6353467561521253,0.5348399246704332,2.674199623352166,0.23758389261744967,0.6353467561521253
