column,level,count,rare_threshold,rare_level_flag
product_code_clean,pk_1487,8783,10,False
product_code_clean,pk_1488,3289,10,False
product_code_clean,pk_2025,3033,10,False
product_code_clean,pk_1489,2869,10,False
product_code_clean,pk_1508,2849,10,False
product_code_clean,pk_2026,827,10,False
product_code_clean,pk_1506,767,10,False
product_code_clean,pk_2027,738,10,False
product_code_clean,pk_1507,286,10,False
product_code_clean,pk_2005,161,10,False
product_code_clean,pk_844,53,10,False
product_code_clean,pk_1494,38,10,False
product_code_clean,pk_1136,35,10,False
product_code_clean,pk_121,34,10,False
product_code_clean,pk_2029,34,10,False
product_code_clean,pk_845,15,10,False
product_code_clean,pk_1139,9,10,True
product_code_clean,pk_1509,8,10,True
product_code_clean,pk_2028,7,10,True
product_code_clean,pk_188,7,10,True
product_code_clean,pk_119,7,10,True
product_code_clean,pk_141,6,10,True
product_code_clean,pk_139,6,10,True
product_code_clean,pk_118,6,10,True
product_code_clean,pk_123,5,10,True
product_code_clean,pk_1070,5,10,True
product_code_clean,pk_142,4,10,True
product_code_clean,pk_846,4,10,True
product_code_clean,pk_1145,3,10,True
product_code_clean,pk_1898,3,10,True
product_code_clean,pk_1142,3,10,True
product_code_clean,pk_140,3,10,True
product_code_clean,pk_122,3,10,True
product_code_clean,pk_187,3,10,True
product_code_clean,pk_849,2,10,True
product_code_clean,pk_389,2,10,True
product_code_clean,pk_847,2,10,True
product_code_clean,pk_1140,2,10,True
product_code_clean,pk_1510,1,10,True
product_code_clean,pk_1137,1,10,True
product_code_clean,pk_1152,1,10,True
product_code_clean,pk_1486,1,10,True
product_code_clean,pk_1079,1,10,True
product_code_clean,pk_1143,1,10,True
product_code_clean,pk_1158,1,10,True
product_code_clean,pk_1077,1,10,True
product_code_clean,pk_1496,1,10,True
product_code_clean,pk_328,1,10,True
product_code_clean,pk_1350,1,10,True
product_code_clean,pk_129,1,10,True
product_code_clean,pk_1160,1,10,True
product_code_clean,pk_1157,1,10,True
product_code_clean,pk_931,1,10,True
product_code_clean,pk_137,1,10,True
product_code_clean,pk_336,1,10,True
product_code_clean,pk_1151,1,10,True
product_code_clean,pk_1071,1,10,True
product_code_clean,pk_929,1,10,True
product_code_clean,pk_1154,1,10,True
product_code_clean,pk_388,1,10,True
gender_clean,F,12570,10,False
gender_clean,M,7384,10,False
gender_clean,unknown,3979,10,False
payment_device_clean,android,11137,10,False
payment_device_clean,pc,4640,10,False
payment_device_clean,ios,4070,10,False
payment_device_clean,mobile,3681,10,False
payment_device_clean,lgtv,182,10,False
payment_device_clean,sstv,126,10,False
payment_device_clean,ott,85,10,False
payment_device_clean,smarttv,9,10,True
payment_device_clean,lgchplus,2,10,True
payment_device_clean,ott_cjhello,1,10,True
billing_method_clean,134,6014,10,False
billing_method_clean,151,4639,10,False
billing_method_clean,140,4070,10,False
billing_method_clean,131,2467,10,False
billing_method_clean,132,2386,10,False
billing_method_clean,180,2219,10,False
billing_method_clean,190,1853,10,False
billing_method_clean,170,282,10,False
billing_method_clean,121,2,10,True
billing_method_clean,160,1,10,True
