dataset,column,value,count,share,missing,mean,median,min,max
Stage 02 retained,is_promotion_raw,O,12165,0.5082939873814398,,,,,
Stage 02 retained,is_promotion_raw,,11768,0.4917060126185602,,,,,
Stage 02c strict-core,is_promotion_bin,1,11940,0.5165476963011032,,,,,
Stage 02c strict-core,is_promotion_bin,__NA__,11175,0.4834523036988968,,,,,
Stage 02 retained,max_screen_raw,1,15055,0.6290477583253249,,,,,
Stage 02 retained,max_screen_raw,2,4899,0.20469644424017047,,,,,
Stage 02 retained,max_screen_raw,4,3896,0.16278778255964568,,,,,
Stage 02 retained,max_screen_raw,,74,0.003091965069151381,,,,,
Stage 02 retained,max_screen_raw,3,9,0.0003760498057076004,,,,,
Stage 02c strict-core,max_screen_num,1.0,14567,0.6301968418775686,,,,,
Stage 02c strict-core,max_screen_num,2.0,4767,0.2062297209604153,,,,,
Stage 02c strict-core,max_screen_num,4.0,3781,0.163573437162016,,,,,
Stage 02 retained,duration_days_stage02,31,19476,0.8137717795512472,,,,,
Stage 02 retained,duration_days_stage02,32,3889,0.16249529937742865,,,,,
Stage 02 retained,duration_days_stage02,0,452,0.0188860569088706,,,,,
Stage 02 retained,duration_days_stage02,1,33,0.0013788492875945347,,,,,
Stage 02 retained,duration_days_stage02,2,20,0.0008356662349057786,,,,,
Stage 02 retained,duration_days_stage02,3,11,0.00045961642919817823,,,,,
Stage 02 retained,duration_days_stage02,4,7,0.0002924831822170225,,,,,
Stage 02 retained,duration_days_stage02,6,6,0.0002506998704717336,,,,,
Stage 02 retained,duration_days_stage02,9,6,0.0002506998704717336,,,,,
Stage 02 retained,duration_days_stage02,8,6,0.0002506998704717336,,,,,
Stage 02 retained,duration_days_stage02,13,4,0.00016713324698115572,,,,,
Stage 02 retained,duration_days_stage02,5,4,0.00016713324698115572,,,,,
Stage 02 retained,duration_days_stage02,11,3,0.0001253499352358668,,,,,
Stage 02 retained,duration_days_stage02,7,3,0.0001253499352358668,,,,,
Stage 02 retained,duration_days_stage02,12,3,0.0001253499352358668,,,,,
Stage 02 retained,duration_days_stage02,17,2,8.356662349057786e-05,,,,,
Stage 02 retained,duration_days_stage02,10,2,8.356662349057786e-05,,,,,
Stage 02 retained,duration_days_stage02,20,2,8.356662349057786e-05,,,,,
Stage 02 retained,duration_days_stage02,16,2,8.356662349057786e-05,,,,,
Stage 02 retained,duration_days_stage02,18,1,4.178331174528893e-05,,,,,
Stage 02 retained,duration_days_stage02,14,1,4.178331174528893e-05,,,,,
Stage 02c strict-core,duration_days_recomputed,31,19301,0.8349989184512222,,,,,
Stage 02c strict-core,duration_days_recomputed,32,3814,0.16500108154877785,,,,,
Stage 02 retained,price_raw,100,12165,0.5082939873814398,,,,,
Stage 02 retained,price_raw,7900,4400,0.1838465716792713,,,,,
Stage 02 retained,price_raw,9.99,2849,0.11904065516232816,,,,,
Stage 02 retained,price_raw,10900,2006,0.08381732336104959,,,,,
Stage 02 retained,price_raw,13900,806,0.03367734926670288,,,,,
Stage 02 retained,price_raw,13.49,767,0.03204780010863661,,,,,
Stage 02 retained,price_raw,16.49,299,0.012493210211841391,,,,,
Stage 02 retained,price_raw,3950,169,0.007061379684953829,,,,,
Stage 02 retained,price_raw,10.99,94,0.00392763130405716,,,,,
Stage 02 retained,price_raw,6700,92,0.0038440646805665817,,,,,
Stage 02 retained,price_raw,6950,61,0.002548782016462625,,,,,
Stage 02 retained,price_raw,13750,45,0.001880249028538002,,,,,
Stage 02 retained,price_raw,5450,44,0.001838465716792713,,,,,
Stage 02 retained,price_raw,6900,35,0.0014624159110851126,,,,,
Stage 02 retained,price_raw,14.29,29,0.001211716040613379,,,,,
Stage 02 retained,price_raw,5900,15,0.000626749676179334,,,,,
Stage 02 retained,price_raw,13.19,12,0.0005013997409434672,,,,,
Stage 02 retained,price_raw,9.89,7,0.0002924831822170225,,,,,
Stage 02 retained,price_raw,6210,7,0.0002924831822170225,,,,,
Stage 02 retained,price_raw,3350,6,0.0002506998704717336,,,,,
Stage 02 retained,price_raw,21.99,3,0.0001253499352358668,,,,,
Stage 02 retained,price_raw,11800,3,0.0001253499352358668,,,,,
Stage 02 retained,price_raw,4900,3,0.0001253499352358668,,,,,
Stage 02 retained,price_raw,18.69,2,8.356662349057786e-05,,,,,
Stage 02 retained,price_raw,20.49,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,26.39,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,16400,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,29.69,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,10400,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,11550,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,27.49,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,24.19,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,8900,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,7.69,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,9810,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,19.79,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,5700,1,4.178331174528893e-05,,,,,
Stage 02 retained,price_raw,17.59,1,4.178331174528893e-05,,,,,
Stage 02c strict-core,price_num,100.0,11940,0.5165476963011032,,,,,
Stage 02c strict-core,price_num,7900.0,4197,0.18157040882543804,,,,,
Stage 02c strict-core,price_num,9.99,2729,0.11806186459009302,,,,,
Stage 02c strict-core,price_num,10900.0,1942,0.08401470906337875,,,,,
Stage 02c strict-core,price_num,13900.0,770,0.033311702357776335,,,,,
Stage 02c strict-core,price_num,13.49,726,0.031408176508760544,,,,,
Stage 02c strict-core,price_num,16.49,276,0.011940298507462687,,,,,
Stage 02c strict-core,price_num,3950.0,161,0.006965174129353234,,,,,
Stage 02c strict-core,price_num,6700.0,91,0.003936837551373567,,,,,
Stage 02c strict-core,price_num,6950.0,55,0.0023794073112697383,,,,,
Stage 02c strict-core,price_num,13750.0,44,0.0019035258490157907,,,,,
Stage 02c strict-core,price_num,5450.0,43,0.0018602638979017955,,,,,
Stage 02c strict-core,price_num,10.99,36,0.0015574302401038286,,,,,
Stage 02c strict-core,price_num,6900.0,28,0.0012113346311918667,,,,,
Stage 02c strict-core,price_num,14.29,26,0.0011248107289638762,,,,,
Stage 02c strict-core,price_num,5900.0,8,0.0003460956089119619,,,,,
Stage 02c strict-core,price_num,9.89,7,0.00030283365779796667,,,,,
Stage 02c strict-core,price_num,6210.0,7,0.00030283365779796667,,,,,
Stage 02c strict-core,price_num,13.19,6,0.00025957170668397143,,,,,
Stage 02c strict-core,price_num,3350.0,5,0.00021630975556997622,,,,,
Stage 02c strict-core,price_num,11800.0,3,0.00012978585334198572,,,,,
Stage 02c strict-core,price_num,4900.0,3,0.00012978585334198572,,,,,
Stage 02c strict-core,price_num,21.99,2,8.652390222799048e-05,,,,,
Stage 02c strict-core,price_num,18.69,2,8.652390222799048e-05,,,,,
Stage 02c strict-core,price_num,20.49,1,4.326195111399524e-05,,,,,
Stage 02c strict-core,price_num,29.69,1,4.326195111399524e-05,,,,,
Stage 02c strict-core,price_num,11550.0,1,4.326195111399524e-05,,,,,
Stage 02c strict-core,price_num,24.19,1,4.326195111399524e-05,,,,,
Stage 02c strict-core,price_num,8900.0,1,4.326195111399524e-05,,,,,
Stage 02c strict-core,price_num,9810.0,1,4.326195111399524e-05,,,,,
Stage 02c strict-core,price_num,5700.0,1,4.326195111399524e-05,,,,,
Stage 02c strict-core,price_num,17.59,1,4.326195111399524e-05,,,,,
Stage 02 retained,gender_raw,F,12570,0.5252162286382819,,,,,
Stage 02 retained,gender_raw,M,7384,0.3085279739272135,,,,,
Stage 02 retained,gender_raw,N,3776,0.157773785150211,,,,,
Stage 02 retained,gender_raw,,203,0.008482012284293653,,,,,
Stage 02c strict-core,gender_clean,F,12325,0.5332035474799913,,,,,
Stage 02c strict-core,gender_clean,M,7242,0.31330304996755354,,,,,
Stage 02c strict-core,gender_clean,unknown,3548,0.1534934025524551,,,,,
Stage 02 retained,is_user_verified_raw,Y,17750,0.7416537834788786,,,,,
Stage 02 retained,is_user_verified_raw,N,5415,0.22625663310073957,,,,,
Stage 02 retained,is_user_verified_raw,,768,0.0320895834203819,,,,,
Stage 02c strict-core,is_user_verified_bin,1,17445,0.754704737183647,,,,,
Stage 02c strict-core,is_user_verified_bin,0,5114,0.22124161799697167,,,,,
Stage 02c strict-core,is_user_verified_bin,__NA__,556,0.024053644819381353,,,,,
Stage 02 retained,age_num,numeric_summary,23730,,203.0,33.86283185840708,35.0,0.0,950.0
Stage 02c strict-core,age_num,numeric_summary,23115,,0.0,33.74194246160502,35.0,15.0,95.0
Stage 02 retained,price_num,numeric_summary,23933,,0.0,3015.2454978481596,100.0,7.69,16400.0
Stage 02c strict-core,price_num,numeric_summary,23115,,0.0,2990.1677075492107,100.0,9.89,13900.0
Stage 02c strict-core,is_promotion_unknown_flag,flag_sum,11175,0.4834523036988968,,,,,
Stage 02c strict-core,is_churn_prevented_unknown_flag,flag_sum,18953,0.8199437594635518,,,,,
Stage 02c strict-core,is_user_verified_unknown_flag,flag_sum,556,0.024053644819381353,,,,,
Stage 02c strict-core,gender_unknown_flag,flag_sum,3548,0.1534934025524551,,,,,
Stage 02c strict-core,product_code_unknown_flag,flag_sum,0,0.0,,,,,
Stage 02c strict-core,payment_device_unknown_flag,flag_sum,0,0.0,,,,,
Stage 02c strict-core,billing_method_unknown_flag,flag_sum,0,0.0,,,,,
