check_item,status,detail
dataset lineage created,PASS,
preprocessing summary created,PASS,
feature contract summary created,PASS,
derived feature lineage created,PASS,
AARRR design summary created,PASS,
AARRR feature mapping created,PASS,
07 to 18 timeline created,PASS,
score source summary created,PASS,
segmentation basis summary created,PASS,
guide checklist created,PASS,
unanswered questions created,PASS,
README created,PASS,
no source CSV modified,PASS,
no notebook modified,PASS,
no model rerun,PASS,
no SHAP rerun,PASS,
no segmentation rerun,PASS,
review zip created,PASS,zip_size=24269
