stage,stage_name,purpose,input_basis,key_outputs,did_modeling,did_SHAP,did_segmentation,final_status,guide_v3_relevance,caveat
07x,AARRR feature mapping,Map 06x features into AARRR stages and caveats,06x model feature lists,07x_feature_mapping_master.csv; 07x_AARRR_summary_by_feature_set.csv,no,no,no,canonical mapping evidence,Use for feature explanation tables,"Mapping is interpretive taxonomy, not causal proof"
08x,promotion vs nonpromotion EDA,Compare promotion and non-promotion groups descriptively,06x datasets and 07x mapping,08x_dataset_scope_summary.csv; group comparison files,no,no,no,descriptive EDA,Use for 100원딜 narrative caveats,Descriptive only
09x,promotion x repurchase 2x2 EDA,Describe 2x2 groups by promotion and repurchase,06x datasets,09x_2x2_cohort_summary.csv; 2x2 feature profiles,no,no,no,descriptive EDA,Use for target/scope explanation,No causal framing
10x,feature distribution / redundancy pre-audit,"Check distribution, redundancy, leakage, VIF risk before modeling",06x/07x outputs,10x_distribution and redundancy audits,no,no,no,pre-model audit,Use for feature caveats,Not feature removal by itself
11x,baseline growth comparison,Compare conservative vs expanded and scope baselines,06x feature sets,11x_model_summary_by_scope.csv; candidate summary,yes,no,no,modeling reference,Use to explain baseline ladder,Not final model decision
12x,model family comparison,Compare model families by scope and feature set,11x candidates and 06x features,12x_model_summary_by_scope.csv; 12x_candidate_selection_by_scope.csv,yes,no,no,model comparison reference,Use to explain CatBoost vs LightGBM context,Fixed-parameter comparison; not final campaign model
14x,lightweight tuning,Tune candidate models lightly without finalizing,12x candidates,14x_candidate_recommendation_summary.csv,yes,no,no,tuning reference only,Use to explain why tuning did not finalize model,Optuna already saved; this pack did not rerun it
15x,payment-device sensitivity,Remove payment device features and compare sensitivity,12x/14x and expanded features,15x_expanded_no_payment_device_feature_list.csv; 15x_model_summary_by_scope.csv,yes,no,no,score-source bridge for 16x/17x,Use to explain payment-device removal,"Payment device is proxy, not viewing device"
16x,payment-removed SHAP,Run fitted explanation basis on payment-removed candidates,15x no-payment features,16x_SHAP_candidate_plan.csv; 16x_SHAP_global_importance.csv,model refit for explanation,yes,no,interpretation evidence,Use for XAI caveats,"SHAP is model explanation, not cause"
17x,segmentation,Assign representative behavior segments using OOF churn_risk and flags,15x OOF score and 16x basis,17x_representative_segment_rules.csv; 17x_segment_summary.csv,no,no,yes,canonical segmentation basis,Use for segment cards,Labels provisional; row-level only
18x,business storyline / final_note / FINAL patches,Turn 17x into presentation-safe storyline and final interpretation notes,17x outputs and FINAL patches,18x business files; FINAL/final_note.md; FINAL patch packs,no,no,no,storyline/reference layer,Use for guide v3 story and Q&A,PUBLIC is reference branch only; do not import numeric score as final
