column_name,original_role,final_role,feature_family,conservative_safe_22_included,expanded_feature_set_included,expanded_no_payment_device_included,model_feature_allowed,reason,caveat
USER_KEY,identifier,group_key/audit_only,identifier,no,no,no,no,USER_KEY is retained as group key and audit key; not a model feature.,USER_KEY duplicates exist; do not call row count unique users.
is_repurchase,target,target,target,no,no,no,no,Positive class is repurchase; churn_risk is derived as 1 - repurchase_score.,Do not rename target to churn.
is_promotion,promotion split,overall_with_promotion_feature_and_scope_variable,Acquisition,no,yes,yes,yes,100원딜 context and top-level split variable.,Do not interpret promotion as causal effect.
payment_is_mobile,derived payment context,excluded_from_expanded_no_payment_device,payment_device_proxy,no,yes,no,no,Payment-device variables are removed from no-payment runtime matrix due interpretation risk.,Payment device is not viewing device.
payment_is_pc,derived payment context,excluded_from_expanded_no_payment_device,payment_device_proxy,no,yes,no,no,Payment-device variables are removed from no-payment runtime matrix due interpretation risk.,Payment device is not viewing device.
payment_is_android,derived payment context,excluded_from_expanded_no_payment_device,payment_device_proxy,no,yes,no,no,Payment-device variables are removed from no-payment runtime matrix due interpretation risk.,Payment device is not viewing device.
payment_is_ios,derived payment context,excluded_from_expanded_no_payment_device,payment_device_proxy,no,yes,no,no,Payment-device variables are removed from no-payment runtime matrix due interpretation risk.,Payment device is not viewing device.
is_churn_prevented,feature,model_feature,historical_churn_prevention_context,no,yes,yes,yes,expanded context/history feature,Historical ever-benefited churn prevention flag; do not interpret as current-cycle outcome.
age_group,derived demographic,expanded_feature_and_action_layer,demographic_context,no,yes,yes,yes,"Allowed in expanded feature set but final guide should use as personalization layer, not cause.",Do not claim age/gender causes churn.
is_female,derived demographic,expanded_feature_and_action_layer,demographic_context,no,yes,yes,yes,"Allowed in expanded feature set but final guide should use as personalization layer, not cause.",Do not claim age/gender causes churn.
is_male,derived demographic,expanded_feature_and_action_layer,demographic_context,no,yes,yes,yes,"Allowed in expanded feature set but final guide should use as personalization layer, not cause.",Do not claim age/gender causes churn.
is_user_verified,feature,model_feature,profile_context_needs_review,no,yes,yes,yes,Name alone does not prove an AARRR stage; left for user review.,
