archive_path,source_path,exists_before_zip,size_bytes_before_zip,note
project_guide_v3_evidence_pack_260521/dataset_lineage_summary.csv,FINAL\project_guide_v3_evidence_pack_260521\dataset_lineage_summary.csv,True,2209,
project_guide_v3_evidence_pack_260521/preprocessing_policy_summary.md,FINAL\project_guide_v3_evidence_pack_260521\preprocessing_policy_summary.md,True,2706,
project_guide_v3_evidence_pack_260521/column_feature_contract_summary.csv,FINAL\project_guide_v3_evidence_pack_260521\column_feature_contract_summary.csv,True,7449,
project_guide_v3_evidence_pack_260521/derived_feature_lineage.md,FINAL\project_guide_v3_evidence_pack_260521\derived_feature_lineage.md,True,4659,
project_guide_v3_evidence_pack_260521/AARRR_design_summary.md,FINAL\project_guide_v3_evidence_pack_260521\AARRR_design_summary.md,True,3694,
project_guide_v3_evidence_pack_260521/AARRR_feature_mapping_table.csv,FINAL\project_guide_v3_evidence_pack_260521\AARRR_feature_mapping_table.csv,True,12877,
project_guide_v3_evidence_pack_260521/stage_07_to_18_timeline.csv,FINAL\project_guide_v3_evidence_pack_260521\stage_07_to_18_timeline.csv,True,3192,
project_guide_v3_evidence_pack_260521/model_and_score_source_summary.md,FINAL\project_guide_v3_evidence_pack_260521\model_and_score_source_summary.md,True,3030,
project_guide_v3_evidence_pack_260521/segmentation_basis_summary.md,FINAL\project_guide_v3_evidence_pack_260521\segmentation_basis_summary.md,True,3156,
project_guide_v3_evidence_pack_260521/guide_v3_required_content_checklist.csv,FINAL\project_guide_v3_evidence_pack_260521\guide_v3_required_content_checklist.csv,True,1528,
project_guide_v3_evidence_pack_260521/unanswered_questions_for_chatgpt.md,FINAL\project_guide_v3_evidence_pack_260521\unanswered_questions_for_chatgpt.md,True,1622,
project_guide_v3_evidence_pack_260521/README.md,FINAL\project_guide_v3_evidence_pack_260521\README.md,True,7754,
project_guide_v3_evidence_pack_260521/final_checks.csv,FINAL\project_guide_v3_evidence_pack_260521\final_checks.csv,True,605,
project_guide_v3_evidence_pack_260521/source_fingerprint_before_after.csv,FINAL\project_guide_v3_evidence_pack_260521\source_fingerprint_before_after.csv,True,18188,
project_guide_v3_evidence_pack_260521/review_zip_inventory.csv,FINAL\project_guide_v3_evidence_pack_260521\review_zip_inventory.csv,False,,self-reference limitation: inventory records planned package contents before final zip refresh
