column_name,previous_timing_family,patched_timing_family,allowed_by_observation_window_policy,reason,evidence_from_column_name,evidence_from_previous_step,needs_human_confirmation
USER_KEY,id_target_split,id_target_split,no,Identifier; row-level/subscription-event-level analysis is not unique-user-level. Never use as model feature.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
product_code,static_or_pre_subscription,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
price,static_or_pre_subscription,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
billing_method,static_or_pre_subscription,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
max_screen,static_or_pre_subscription,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
is_promotion,id_target_split,id_target_split,review,"Top-level split variable. It may be used only for overall comparison, and must be excluded inside promotion-only/non-promotion-only models.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
is_churn_prevented,post_outcome_or_target,post_outcome_or_target_review,review,Could be past information or current-cycle intervention/outcome proxy; keep review until source timing is proven.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
payment_device,unknown,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
is_user_verified,unknown,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
gender,static_or_pre_subscription,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
age,static_or_pre_subscription,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
reg_date,subscription_anchor_date,subscription_anchor_date,no,"Registration date is an anchor, not a regular model feature.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
reg_hour,unknown,subscription_anchor_derived_review,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
end_date,all_period_ambiguous,subscription_end_timing_review,review,End date is unresolved: scheduled-at-scoring vs post-hoc actual end must be confirmed before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
is_repurchase,id_target_split,id_target_split,no,Target; positive class means repurchase. Never use as model feature.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
is_standard,unknown,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
is_premium,unknown,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
age_group,static_or_pre_subscription,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
is_female,unknown,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
is_male,unknown,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
reg_is_weekend,unknown,subscription_anchor_derived_review,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
reg_hour_morning,unknown,subscription_anchor_derived_review,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
reg_hour_afternoon,unknown,subscription_anchor_derived_review,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
reg_hour_evening,unknown,subscription_anchor_derived_review,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
reg_hour_night,unknown,subscription_anchor_derived_review,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
payment_is_mobile,unknown,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
payment_is_pc,unknown,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
payment_is_android,unknown,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
payment_is_ios,unknown,static_or_pre_subscription_review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
total_watch_count,all_period_ambiguous,all_period_ambiguous,review,Total usage column remains review until proven to be day0-20 only.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
unique_movie,unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
watch_days,unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
