check_name,status,detail
source_file_exists,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\data\(광일)Membership_v2_with_derived_features.csv
previous_05_folder_exists,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\reports\audits\05_column_role_leakage_timing_audit_260513
all_required_05_inputs_loaded,PASS,
actual_repo_root_recorded,PASS,C:/Code/Github Repository/ott-churn-prediction
actual_repo_root_matches_requested,WARNING,requested=C:\Code\ott-churn-prediction; actual=C:/Code/Github Repository/ott-churn-prediction
notebook_inside_park_ingyeom,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\notebook\05b_column_role_dictionary_patch_260513\05b_column_role_dictionary_patch_260513.ipynb
output_folder_inside_park_ingyeom,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\reports\audits\05b_column_role_dictionary_patch_260513
zip_inside_park_ingyeom,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\zip\05b_column_role_dictionary_patch_260513_review_package.zip
no_files_written_outside_park_ingyeom,PASS,All planned outputs are inside park.ingyeom.
no_py_script_created,PASS,No .py script created.
no_existing_notebook_modified,PASS,Only new 05b notebook path used.
no_source_csv_modified,PASS,Source mtime unchanged.
no_original_05_outputs_overwritten,PASS,Previous 05 input mtimes unchanged.
no_modeling_performed,PASS,Scope guardrail enforced.
no_predictions_created,PASS,Scope guardrail enforced.
no_shap_performed,PASS,Scope guardrail enforced.
no_optuna_performed,PASS,Scope guardrail enforced.
no_feature_engineering_performed,PASS,Scope guardrail enforced.
no_rows_excluded,PASS,Scope guardrail enforced.
no_duplicate_rows_removed,PASS,Scope guardrail enforced.
no_model_ready_dataset_created,PASS,Scope guardrail enforced.
canonical_column_role_dictionary_has_91_columns,PASS,rows=91
canonical_timing_audit_has_91_columns,PASS,rows=91
retention_w2_ratio_role_corrected,PASS,
retention_w3_ratio_role_corrected,PASS,
active_ratio_not_genre_ratio,PASS,
avg_rewatch_ratio_not_genre_ratio,PASS,
weekend_watch_ratio_not_genre_ratio,PASS,
watch_ratio_under_1m_not_genre_ratio,PASS,
watch_ratio_under_5m_not_genre_ratio,PASS,
is_cold_start_3d_activation,PASS,
is_cold_start_7d_activation,PASS,
diff_between_w2_w1_retention_change,PASS,
diff_between_w3_w1_retention_change,PASS,
diff_between_w3_w2_retention_change,PASS,
actual_genre_ratio_columns_still_genre_ratio,PASS,
new_movie_ratio_columns_content_recency_or_review,PASS,
human_review_file_contains_only_review_or_confirmation_needed_columns,PASS,
forbidden_drop_columns_not_mixed_with_review_columns,PASS,rows=4
downstream_handoff_policy_created,PASS,05b_downstream_handoff_policy.csv
role_and_status_summary_created,PASS,05b_role_and_status_summary.csv
safe_unsafe_wording_created,PASS,05b_safe_unsafe_wording.csv
open_risks_created,PASS,05b_open_risks_for_next_steps.csv
readme_created,PASS,README.md
note_md_updated,PASS,C:\Code\Github Repository\ott-churn-prediction\park.ingyeom\note.md
review_zip_created,PASS,"Created below, then overwritten after notebook execution to include executed notebook."
notebook_saved_with_outputs,PASS,Executed with nbconvert --inplace and verified after execution.
required_output_exists__05b_input_validation.csv,PASS,05b_input_validation.csv
required_output_exists__05b_detected_issues_from_05.csv,PASS,05b_detected_issues_from_05.csv
required_output_exists__05b_canonical_column_role_dictionary.csv,PASS,05b_canonical_column_role_dictionary.csv
required_output_exists__05b_column_role_patch_log.csv,PASS,05b_column_role_patch_log.csv
required_output_exists__05b_canonical_timing_audit.csv,PASS,05b_canonical_timing_audit.csv
required_output_exists__05b_canonical_leakage_suspect_audit.csv,PASS,05b_canonical_leakage_suspect_audit.csv
required_output_exists__05b_true_human_review_required_columns.csv,PASS,05b_true_human_review_required_columns.csv
required_output_exists__05b_human_review_summary.csv,PASS,05b_human_review_summary.csv
required_output_exists__05b_canonical_recommended_feature_set_contracts.csv,PASS,05b_canonical_recommended_feature_set_contracts.csv
required_output_exists__05b_conservative_safe_candidate_columns.csv,PASS,05b_conservative_safe_candidate_columns.csv
required_output_exists__05b_review_required_columns.csv,PASS,05b_review_required_columns.csv
required_output_exists__05b_forbidden_drop_columns.csv,PASS,05b_forbidden_drop_columns.csv
required_output_exists__05b_role_and_status_summary.csv,PASS,05b_role_and_status_summary.csv
required_output_exists__05b_downstream_handoff_policy.csv,PASS,05b_downstream_handoff_policy.csv
required_output_exists__05b_safe_unsafe_wording.csv,PASS,05b_safe_unsafe_wording.csv
required_output_exists__05b_open_risks_for_next_steps.csv,PASS,05b_open_risks_for_next_steps.csv
