column_name,old_primary_role,new_primary_role,old_feature_family,new_feature_family,old_timing_family,new_timing_family,old_overall_allowed,new_overall_allowed,old_groupwise_allowed,new_groupwise_allowed,reason_for_change,whether_allowed_status_became_more_permissive,caution
product_code,membership_context,membership_context,membership_context,membership_context,static_or_pre_subscription,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
price,membership_context,membership_context,membership_context,membership_context,static_or_pre_subscription,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
billing_method,membership_context,membership_context,membership_context,membership_context,static_or_pre_subscription,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
max_screen,membership_context,membership_context,membership_context,membership_context,static_or_pre_subscription,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_churn_prevented,leakage_suspect,leakage_suspect,outcome_or_target_proxy,outcome_or_intervention_proxy,post_outcome_or_target,post_outcome_or_target_review,no,review,no,review,Could be past information or current-cycle intervention/outcome proxy; keep review until source timing is proven.,yes,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
payment_device,unknown_review_required,membership_context,unknown_review,membership_context,unknown,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_user_verified,unknown_review_required,membership_context,unknown_review,membership_context,unknown,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
gender,membership_context,membership_context,membership_context,membership_context,static_or_pre_subscription,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
age,membership_context,membership_context,membership_context,membership_context,static_or_pre_subscription,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
reg_hour,unknown_review_required,acquisition,unknown_review,registration_context,unknown,subscription_anchor_derived_review,review,review,review,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
end_date,timing_review_required,timing_review_required,subscription_anchor,subscription_end_timing_review,all_period_ambiguous,subscription_end_timing_review,no,review,no,review,End date is unresolved: scheduled-at-scoring vs post-hoc actual end must be confirmed before modeling.,yes,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
