promo_scope,segment_family,demographic_modifier,observed_demographic_pattern,observed_behavior_difference,candidate_action,include_in_storyline,reason_for_include_or_exclude,evidence_strength,overinterpretation_risk,caveat
promo0,high_risk_activation_or_low_engagement,age_group=30,n=50; churn=0.7400; risk=0.6400,total_watch_time_min diff_vs_segment=1.3842,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
promo0,high_risk_activation_or_low_engagement,age_group=30,n=50; churn=0.7400; risk=0.6400,max_inactive_gap_days diff_vs_segment=-0.8438,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
promo0,high_risk_activation_or_low_engagement,age_group=30,n=50; churn=0.7400; risk=0.6400,watch_time_min_w3 diff_vs_segment=0.5431,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
promo0,high_risk_week3_inactivity_or_retention_decay,age_group=20,n=409; churn=0.6601; risk=0.6639,total_watch_time_min diff_vs_segment=13.6943,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
promo0,high_risk_week3_inactivity_or_retention_decay,age_group=40,n=920; churn=0.6793; risk=0.6514,total_watch_time_min diff_vs_segment=-9.4736,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
promo0,high_risk_week3_inactivity_or_retention_decay,age_group=20,n=409; churn=0.6601; risk=0.6639,watch_time_min_w1 diff_vs_segment=8.7507,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
promo0,mid_risk_retention_watchlist,age_group=40,n=563; churn=0.3943; risk=0.3670,total_watch_time_min diff_vs_segment=26.0534,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
promo0,mid_risk_retention_watchlist,age_group=40,n=563; churn=0.3943; risk=0.3670,watch_time_min_w1 diff_vs_segment=22.4549,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
promo0,mid_risk_retention_watchlist,age_group=30,n=268; churn=0.4291; risk=0.3631,watch_time_min_w1 diff_vs_segment=-12.5995,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
promo0,other_needs_review_residual,age_group=60,n=87; churn=0.1149; risk=0.1223,total_watch_time_min diff_vs_segment=43.7202,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
promo0,other_needs_review_residual,age_group=10,n=59; churn=0.0678; risk=0.1015,total_watch_time_min diff_vs_segment=41.3581,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
promo0,other_needs_review_residual,age_group=60,n=87; churn=0.1149; risk=0.1223,watch_time_min_w1 diff_vs_segment=26.7202,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
promo0,stable_usage_lower_risk,age_group=30,n=416; churn=0.0625; risk=0.0739,watch_time_min_w3 diff_vs_segment=-12.6870,행동 차이에 맞춘 메시지/채널/콘텐츠 variant 검토,yes,moderate 이상 EDA와 subgroup n>=30 기준,moderate,medium; do not describe age/gender as churn cause,"Age/gender is a personalization modifier, not churn cause."
