promo_scope,segment_family,segment_role,primary_behavior_problem,risk_level_summary,recommended_action_type,recommended_message_direction,recommended_channel_or_touchpoint,recommended_content_strategy,demographic_personalization_available,demographic_personalization_summary,evidence_files,evidence_strength,caveat,final_status
promo0,high_risk_activation_or_low_engagement,promo0_comparison_scope,초기 이용 습관 형성 실패 또는 낮은 활동,churn=0.751; mean_gb_risk=0.629; status=subsignal_only,activation_reengagement,1주차 activation과 2주차 관심 유지 여부를 확인하고 낮은 활동 고객에게 온보딩/재활성 메시지 검토,"early lifecycle push, onboarding notification",시청 장벽을 낮추는 short-list 추천,yes_limited,age_group=30; age_group=30; age_group=30,17 quality hotfix summary; 17 demographic action matrix; 18 demographic selection,moderate,Candidate only; not final campaign policy. Do not claim causality.,provisional_business_candidate
promo0,high_risk_week3_inactivity_or_retention_decay,promo0_comparison_scope,3주차 비활성 또는 유지율 감소,churn=0.680; mean_gb_risk=0.654; status=provisional_storyline_candidate,week3_save_campaign,"3주차 초반부터 day21 직전까지 시청 감소/비활성 조짐을 감지하고 콘텐츠 추천, 혜택 안내, 복귀 메시지를 검토","in-app, push, renewal-reminder message",최근 시청 맥락과 장르 cue가 있을 때만 콘텐츠 추천 후보,yes_limited,age_group=20; age_group=40; age_group=20,17 quality hotfix summary; 17 demographic action matrix; 18 demographic selection,moderate,Candidate only; not final campaign policy. Do not claim causality.,provisional_business_candidate
promo0,mid_risk_retention_watchlist,promo0_comparison_scope,상위 고위험은 아니지만 유지 관찰이 필요한 중간 위험,churn=0.417; mean_gb_risk=0.363; status=provisional_storyline_candidate,mid_risk_watchlist_nurture,고위험 확정이 아니라 관찰군으로 두고 2~3주차 행동 변화에 따라 nurture,light-touch notification,개인화 강도 낮은 추천,yes_limited,age_group=40; age_group=40; age_group=30,17 quality hotfix summary; 17 demographic action matrix; 18 demographic selection,moderate,Candidate only; not final campaign policy. Do not claim causality.,provisional_business_candidate
promo0,other_needs_review_residual,promo0_comparison_scope,현재 rule로 충분히 설명되지 않은 잔여군,churn=0.091; mean_gb_risk=0.114; status=residual_caveat,residual_monitoring,잔여군을 중위험으로 단정하지 않고 risk band와 행동 flag를 추가 모니터링,monitoring dashboard,강한 콘텐츠 전략 보류,yes_limited,age_group=60; age_group=10; age_group=60,17 quality hotfix summary; 17 demographic action matrix; 18 demographic selection,moderate,Candidate only; not final campaign policy. Do not claim causality.,provisional_business_candidate
promo0,stable_usage_lower_risk,promo0_comparison_scope,상대적으로 안정적인 이용 패턴,churn=0.068; mean_gb_risk=0.071; status=provisional_storyline_candidate,stable_usage_maintenance_or_upsell,과도한 방어 캠페인보다 만족 유지와 업셀 후보로 관리,low-frequency CRM,선호 장르 기반 유지/확장 추천,yes_limited,age_group=30; age_group=20; age_group=30,17 quality hotfix summary; 17 demographic action matrix; 18 demographic selection,moderate,Candidate only; not final campaign policy. Do not claim causality.,provisional_business_candidate
promo1,high_risk_activation_or_low_engagement,promo1_main_scope,초기 이용 습관 형성 실패 또는 낮은 활동,churn=0.784; mean_gb_risk=0.732; status=provisional_storyline_candidate,activation_reengagement,1주차 activation과 2주차 관심 유지 여부를 확인하고 낮은 활동 고객에게 온보딩/재활성 메시지 검토,"early lifecycle push, onboarding notification",시청 장벽을 낮추는 short-list 추천,yes_limited,age_group=30; age_group=30; age_group=30,17 quality hotfix summary; 17 demographic action matrix; 18 demographic selection,moderate,Candidate only; not final campaign policy. Do not claim causality.,provisional_business_candidate
promo1,high_risk_week3_inactivity_or_retention_decay,promo1_main_scope,3주차 비활성 또는 유지율 감소,churn=0.743; mean_gb_risk=0.740; status=provisional_storyline_candidate,week3_save_campaign,"3주차 초반부터 day21 직전까지 시청 감소/비활성 조짐을 감지하고 콘텐츠 추천, 혜택 안내, 복귀 메시지를 검토","in-app, push, renewal-reminder message",최근 시청 맥락과 장르 cue가 있을 때만 콘텐츠 추천 후보,yes_limited,age_group=10; age_group=60; age_group=60,17 quality hotfix summary; 17 demographic action matrix; 18 demographic selection,moderate,Candidate only; not final campaign policy. Do not claim causality.,provisional_business_candidate
promo1,mid_risk_retention_watchlist,promo1_main_scope,상위 고위험은 아니지만 유지 관찰이 필요한 중간 위험,churn=0.601; mean_gb_risk=0.528; status=provisional_storyline_candidate,mid_risk_watchlist_nurture,고위험 확정이 아니라 관찰군으로 두고 2~3주차 행동 변화에 따라 nurture,light-touch notification,개인화 강도 낮은 추천,yes_limited,age_group=40; age_group=40; age_group=30,17 quality hotfix summary; 17 demographic action matrix; 18 demographic selection,moderate,Candidate only; not final campaign policy. Do not claim causality.,provisional_business_candidate
promo1,other_needs_review_residual,promo1_main_scope,현재 rule로 충분히 설명되지 않은 잔여군,churn=0.181; mean_gb_risk=0.194; status=residual_caveat,residual_monitoring,잔여군을 중위험으로 단정하지 않고 risk band와 행동 flag를 추가 모니터링,monitoring dashboard,강한 콘텐츠 전략 보류,yes_limited,age_group=60; age_group=60; age_group=60,17 quality hotfix summary; 17 demographic action matrix; 18 demographic selection,moderate,Candidate only; not final campaign policy. Do not claim causality.,provisional_business_candidate
promo1,stable_usage_lower_risk,promo1_main_scope,상대적으로 안정적인 이용 패턴,churn=0.120; mean_gb_risk=0.134; status=provisional_storyline_candidate,stable_usage_maintenance_or_upsell,과도한 방어 캠페인보다 만족 유지와 업셀 후보로 관리,low-frequency CRM,선호 장르 기반 유지/확장 추천,yes_limited,age_group=10; age_group=40; age_group=10,17 quality hotfix summary; 17 demographic action matrix; 18 demographic selection,moderate,Candidate only; not final campaign policy. Do not claim causality.,provisional_business_candidate
