window,feature_set,feature_family,model_name,split_type,split_id,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,accuracy_at_0_5_repurchase,balanced_accuracy_at_0_5_repurchase,precision_at_0_5_repurchase,recall_at_0_5_repurchase,f1_at_0_5_repurchase,precision_at_0_5_churn_risk,recall_at_0_5_churn_risk,f1_at_0_5_churn_risk,repurchase_tn,repurchase_fp,repurchase_fn,repurchase_tp,churn_risk_tn,churn_risk_fp,churn_risk_fn,churn_risk_tp,train_positive_rate_repurchase,test_positive_rate_repurchase,train_churn_rate,test_churn_rate,n_train,n_test,post_transform_feature_count,threshold,contains_is_churn_prevented,model_group,roc_auc_repurchase_std,average_precision_repurchase_std,average_precision_churn_risk_std,accuracy_at_0_5_repurchase_std,balanced_accuracy_at_0_5_repurchase_std,precision_at_0_5_churn_risk_std,recall_at_0_5_churn_risk_std,f1_at_0_5_churn_risk_std,post_transform_feature_count_std
w1_3,membership_only_with_churn_prevented,membership_only,DummyClassifier,holdout,test,0.5,0.7129997906635964,0.2870002093364036,0.7129997906635964,0.5,0.7129997906635964,1.0,0.8324575339117684,0.0,0.0,0.0,0.0,1371.0,0.0,3406.0,3406.0,0.0,1371.0,0.0,0.7214449780747546,0.7129997906635964,0.2785550219252454,0.2870002093364036,19156.0,4777.0,86.0,0.5,Y,required_sklearn,,,,,,,,,
w1_3,membership_only_with_churn_prevented,membership_only,DummyClassifier,groupkfold,1,0.5,0.723614941087992,0.27638505891200804,0.723614941087992,0.5,0.723614941087992,1.0,0.8396480255981383,0.0,0.0,0.0,0.0,2205.0,0.0,5773.0,5773.0,0.0,2205.0,0.0,0.7178314008147916,0.723614941087992,0.2821685991852084,0.27638505891200804,15955.0,7978.0,81.0,0.5,Y,required_sklearn,,,,,,,,,
w1_3,membership_only_with_churn_prevented,membership_only,DummyClassifier,groupkfold,2,0.5,0.7186011531712209,0.28139884682877914,0.7186011531712209,0.5,0.7186011531712209,1.0,0.836262854642258,0.0,0.0,0.0,0.0,2245.0,0.0,5733.0,5733.0,0.0,2245.0,0.0,0.7203384518959574,0.7186011531712209,0.27966154810404265,0.28139884682877914,15955.0,7978.0,83.0,0.5,Y,required_sklearn,,,,,,,,,
w1_3,membership_only_with_churn_prevented,membership_only,DummyClassifier,groupkfold,3,0.5,0.7170615519618905,0.2829384480381096,0.7170615519618905,0.5,0.7170615519618905,1.0,0.8352193911075418,0.0,0.0,0.0,0.0,2257.0,0.0,5720.0,5720.0,0.0,2257.0,0.0,0.7211080471296064,0.7170615519618905,0.2788919528703936,0.2829384480381095,15956.0,7977.0,80.0,0.5,Y,required_sklearn,,,,,,,,,
w1_3,membership_only_with_churn_prevented,membership_only,LogisticRegression,holdout,test,0.5735914396570517,0.759429626303594,0.33583714346668264,0.5367385388319029,0.5568137576756682,0.7617376042123738,0.5096887844979449,0.6107299912049252,0.33146517213771015,0.6039387308533917,0.42801757560093046,828.0,543.0,1670.0,1736.0,1736.0,1670.0,543.0,828.0,0.7214449780747546,0.7129997906635964,0.2785550219252454,0.2870002093364036,19156.0,4777.0,86.0,0.5,Y,required_sklearn,,,,,,,,,
w1_3,membership_only_with_churn_prevented,membership_only,LogisticRegression,groupkfold,1,0.5636734536761757,0.7590422662836647,0.31592357705707763,0.530208072198546,0.5489725609049556,0.7644293549229564,0.5070154165944916,0.6096646531972506,0.3140515786936611,0.5909297052154195,0.41013534781240163,1303.0,902.0,2846.0,2927.0,2927.0,2846.0,902.0,1303.0,0.7178314008147916,0.723614941087992,0.2821685991852084,0.27638505891200804,15955.0,7978.0,81.0,0.5,Y,required_sklearn,,,,,,,,,
w1_3,membership_only_with_churn_prevented,membership_only,LogisticRegression,groupkfold,2,0.5593094253291517,0.7544221717322976,0.3167905953961965,0.5249435948859363,0.5456079890696499,0.7576239724211085,0.4983429269143555,0.6012205387205387,0.3163774661278821,0.5928730512249443,0.4125852448853069,1331.0,914.0,2876.0,2857.0,2857.0,2876.0,914.0,1331.0,0.7203384518959574,0.7186011531712209,0.27966154810404265,0.28139884682877914,15955.0,7978.0,83.0,0.5,Y,required_sklearn,,,,,,,,,
w1_3,membership_only_with_churn_prevented,membership_only,LogisticRegression,groupkfold,3,0.5776697438582684,0.7627791992281574,0.33475611204780786,0.5380468847937822,0.5613339695306908,0.7696793002915452,0.5076923076923077,0.6118192352259559,0.3301617507136061,0.614975631369074,0.42965485219006344,1388.0,869.0,2816.0,2904.0,2904.0,2816.0,869.0,1388.0,0.7211080471296064,0.7170615519618905,0.2788919528703936,0.2829384480381095,15956.0,7977.0,80.0,0.5,Y,required_sklearn,,,,,,,,,
w1_3,membership_only_with_churn_prevented,membership_only,ExtraTreesClassifier,holdout,test,0.5661404146713249,0.7546663083326306,0.3339376611865827,0.5593468704207661,0.547827813191035,0.7487571701720841,0.5748678802113917,0.6503903006145159,0.33024976873265494,0.5207877461706784,0.404189074440985,714.0,657.0,1448.0,1958.0,1958.0,1448.0,657.0,714.0,0.7214449780747546,0.7129997906635964,0.2785550219252454,0.2870002093364036,19156.0,4777.0,86.0,0.5,Y,required_sklearn,,,,,,,,,
w1_3,membership_only_with_churn_prevented,membership_only,ExtraTreesClassifier,groupkfold,1,0.5557801133040549,0.752619103211537,0.3161150359462751,0.5535221860115317,0.5471431831581295,0.7588386794661671,0.5614065477221548,0.6453604141776185,0.31696789857027247,0.5328798185941043,0.39749661705006767,1175.0,1030.0,2532.0,3241.0,3241.0,2532.0,1030.0,1175.0,0.7178314008147916,0.723614941087992,0.2821685991852084,0.27638505891200804,15955.0,7978.0,81.0,0.5,Y,required_sklearn,,,,,,,,,
