column_name,role,source_original_feature,dtype,missing_count,unique_count,use_as_feature
USER_KEY,group_key,USER_KEY,object,0,23032,no
is_repurchase,target,is_repurchase,int64,0,2,no
avg_gap_w1_watch_days,feature,avg_gap_w1_watch_days,float64,0,13,yes
avg_gap_w2_watch_days,feature,avg_gap_w2_watch_days,float64,0,13,yes
avg_gap_w3_watch_days,feature,avg_gap_w3_watch_days,float64,0,13,yes
watch_time_min_w1,feature,watch_time(min)_w1,int64,0,856,yes
watch_time_min_w2,feature,watch_time(min)_w2,int64,0,849,yes
watch_time_min_w3,feature,watch_time(min)_w3,int64,0,841,yes
watch_session_w1,feature,watch_session_w1,int64,0,36,yes
watch_session_w2,feature,watch_session_w2,int64,0,35,yes
watch_session_w3,feature,watch_session_w3,int64,0,36,yes
retention_w2_ratio,feature,retention_w2_ratio,float64,0,8591,yes
retention_w3_ratio,feature,retention_w3_ratio,float64,0,8485,yes
diff_between_w2_w1,feature,diff_between_w2_w1,int64,0,1381,yes
diff_between_w3_w1,feature,diff_between_w3_w1,int64,0,1483,yes
diff_between_w3_w2,feature,diff_between_w3_w2,int64,0,1407,yes
is_w1_over_50pct,feature,is_w1_over_50pct,int64,0,2,yes
is_w2_over_50pct,feature,is_w2_over_50pct,int64,0,2,yes
is_w3_over_50pct,feature,is_w3_over_50pct,int64,0,2,yes
is_only_w1,feature,is_only_w1,int64,0,2,yes
is_only_w2,feature,is_only_w2,int64,0,2,yes
is_only_w3,feature,is_only_w3,int64,0,2,yes
is_cold_start_3d_fixed,feature,is_cold_start_3d_fixed,int32,0,2,yes
is_cold_start_7d_fixed,feature,is_cold_start_7d_fixed,int32,0,2,yes
