feature,vif
price_num,2.1562871445485996
max_screen_num,1.0892375401049315
is_promotion_bin,2.879177932706794
is_user_verified_bin,1.5470935803170052
age_num,1.1012794702934932
billing_method_clean,1.053801317689825
w1_3_week1_watch_time,3.719943708143132
w1_3_week2_watch_time,3.2768973635512495
w1_3_week3_watch_time,3.459410620068966
w1_3_week1_sessions,4.84544285149199
w1_3_week2_sessions,4.185910971678914
w1_3_week3_sessions,4.297574385679277
w1_3_unique_contents,6.491006725226896
w1_3_unique_watch_days,3.7760363881129626
w1_3_avg_watch_time_per_session,2.1733453808269925
w1_3_genre_ratio_action_adventure,2.290672377035855
w1_3_genre_ratio_animation_family,2.4462227308500006
w1_3_genre_ratio_comedy,1.9495503426412382
w1_3_genre_ratio_documentary,1.1990179588049847
w1_3_genre_ratio_drama,2.586162136534856
w1_3_genre_ratio_historical_war,1.759537671116914
w1_3_genre_ratio_horror,1.3386306105479369
w1_3_genre_ratio_other,1.419418746406524
w1_3_genre_ratio_romance,2.010392448284899
w1_3_genre_ratio_sf_fantasy,2.4833043104135917
w1_3_genre_ratio_thriller_crime,2.320754951803511
w1_3_genre_entropy,2.542903930773376
w1_3_recent_content_watch_ratio,1.2312639785028348
