feature_set_name,window,feature_set_class,model,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,accuracy,balanced_accuracy,precision_churn_at_0_5,recall_churn_at_0_5,f1_churn_at_0_5,brier_score,n_train,n_test,train_repurchase_rate,test_repurchase_rate,raw_feature_count,post_transform_feature_count,train_test_USER_KEY_overlap,top_10pct_churn_rate,lift_vs_overall_churn_rate,captured_churners,churner_capture_rate,average_churn_risk_score
full_exploratory_w1_1,w1_1,full_exploratory,LogisticRegression,0.615076956206365,0.7911610550334561,0.38870840486117353,0.5718918918918919,0.5825953168918306,0.3601937472479084,0.6081784386617101,0.4524336283185841,0.24057372640740107,18490,4625,0.719902650081125,0.7091891891891892,70,67,0,0.4406047516198704,1.515090688655688,204,0.1516728624535316,0.7058777095720111
full_exploratory_w1_1,w1_1,full_exploratory,HistGradientBoostingClassifier,0.6283372245897181,0.798846612366056,0.4022430178789902,0.7122162162162162,0.5179243358418715,0.5538461538461539,0.053531598513011154,0.0976271186440678,0.19730246685646877,18490,4625,0.719902650081125,0.7091891891891892,70,67,0,0.4773218142548596,1.641348246043662,221,0.16431226765799256,0.4810329701119124
full_exploratory_w1_1,w1_1,full_exploratory,ExtraTreesClassifier,0.623175605222595,0.792493971102422,0.391811232404194,0.5738378378378378,0.5885727400489618,0.3641493055555556,0.6237918215613383,0.45985201425047956,0.23807902193108207,18490,4625,0.719902650081125,0.7091891891891892,70,67,0,0.46220302375809935,1.5893598400603786,214,0.1591078066914498,0.6258313313909241
full_exploratory_w1_2,w1_2,full_exploratory,LogisticRegression,0.7138207226403118,0.8641769853687876,0.4605003076784605,0.646918918918919,0.6536942379182156,0.43110047846889954,0.6698884758364312,0.5245997088791848,0.21590906355566247,18490,4625,0.719902650081125,0.7091891891891892,74,71,0,0.5118790496760259,1.760178888291167,237,0.1762081784386617,0.8122554674936469
full_exploratory_w1_2,w1_2,full_exploratory,HistGradientBoostingClassifier,0.7418050140538581,0.8792778228572817,0.5036535022685534,0.721081081081081,0.5774662254057485,0.5478260869565217,0.2342007434944238,0.328125,0.1767138927863821,18490,4625,0.719902650081125,0.7091891891891892,74,71,0,0.5637149028077754,1.9384248516624245,261,0.19405204460966544,0.5946569572112491
full_exploratory_w1_2,w1_2,full_exploratory,ExtraTreesClassifier,0.7268860504125487,0.872758354988872,0.47919527035290277,0.6415135135135135,0.6626031371837882,0.4298520842671448,0.7130111524163569,0.5363534675615212,0.21266348469098864,18490,4625,0.719902650081125,0.7091891891891892,74,71,0,0.5442764578833693,1.871582615398203,252,0.18736059479553904,0.6753442511845845
full_exploratory_w1_3,w1_3,full_exploratory,LogisticRegression,0.8355139858554719,0.9237871193063625,0.655617801958798,0.7517837837837837,0.7556986127482093,0.552928533046749,0.7650557620817844,0.6419213973799127,0.16635157409800314,18490,4625,0.719902650081125,0.7091891891891892,78,75,0,0.7645788336933045,2.6291279597260466,354,0.2631970260223048,0.9180644826776705
full_exploratory_w1_3,w1_3,full_exploratory,HistGradientBoostingClassifier,0.8734658627255417,0.9441390960051852,0.7114543057930057,0.816,0.7498741953032914,0.7249544626593807,0.59182156133829,0.651657797789603,0.1290474885296145,18490,4625,0.719902650081125,0.7091891891891892,78,75,0,0.8034557235421166,2.76281243225449,372,0.2765799256505576,0.7944412089647384
full_exploratory_w1_3,w1_3,full_exploratory,ExtraTreesClassifier,0.8452783570586635,0.9296687247512421,0.6624862967606535,0.7723243243243243,0.7699610118777768,0.5827664399092971,0.7643122676579925,0.6613058861370216,0.16933637856187503,18490,4625,0.719902650081125,0.7091891891891892,78,75,0,0.755939524838013,2.5994202991641706,350,0.26022304832713755,0.8024991938876873
full_exploratory_w1_4_late_period,w1_4,full_exploratory_upper_bound_late_period,LogisticRegression,0.8645992383715658,0.9360593423071909,0.7092534091951371,0.7837837837837838,0.7901022304832714,0.5947281713344317,0.8052044609665427,0.6841440303221731,0.15085671279461704,18490,4625,0.719902650081125,0.7091891891891892,82,79,0,0.816414686825054,2.8073739230973045,378,0.2810408921933085,0.9395391889506471
