feature_name,AARRR_stage_primary,feature_family,nonpromotion_mean,promotion_mean,mean_difference_promotion_minus_nonpromotion,nonpromotion_median,promotion_median,median_difference,nonpromotion_zero_rate,promotion_zero_rate,zero_rate_difference,simple_standardized_mean_difference,descriptive_effect_size_bucket,safe_interpretation,caution
avg_gap_w1_watch_days,retention,usage_observation,0.6710633851454139,0.6763356859038979,0.005272300758484061,0.0,0.0,0.0,0.6773154362416107,0.6753192204301075,-0.0019962158115032214,0.004271088547973553,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
avg_gap_w2_watch_days,retention,usage_observation,0.638010439821029,0.6610677082493279,0.023057268428298916,0.0,0.0,0.0,0.6747203579418345,0.6730510752688172,-0.0016692826730172472,0.01955207141332982,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
avg_gap_w3_watch_days,retention,usage_observation,0.6616584643400447,0.694142025033602,0.03248356069355729,0.0,0.0,0.0,0.6782102908277405,0.6641465053763441,-0.014063785451396416,0.026469464503076266,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
is_cold_start_3d,activation,activation_onboarding,0.4664876957494407,0.46060147849462363,-0.005886217254817083,0.0,0.0,0.0,0.5335123042505593,0.5393985215053764,0.005886217254817083,-0.011803544471901873,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
is_cold_start_7d,activation,activation_onboarding,0.6823266219239373,0.6764112903225806,-0.00591533160135671,1.0,1.0,0.0,0.31767337807606266,0.3235887096774194,0.00591533160135671,-0.012673989650120237,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
watch_time(min)_w1,activation,usage_observation,99.88348993288591,100.42330309139786,0.5398131585119472,29.0,26.0,-3.0,0.35892617449664427,0.36517137096774194,0.006245196471097669,0.0032938113531343384,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
watch_time(min)_w2,retention,usage_observation,97.61834451901566,98.10173051075269,0.48338599173702335,24.0,22.0,-2.0,0.37038031319910514,0.37163978494623656,0.0012594717471314243,0.003126216850093657,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
watch_time(min)_w3,retention,usage_observation,98.52635346756152,99.10559475806451,0.579241290502992,23.0,29.0,6.0,0.3687695749440716,0.35735887096774194,-0.01141070397632965,0.0036552716176584434,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
watch_session_w1,activation,usage_observation,2.247248322147651,2.23807123655914,-0.009177085588511158,1.0,1.0,0.0,0.35892617449664427,0.36517137096774194,0.006245196471097669,-0.002951120347742134,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
watch_session_w2,retention,usage_observation,2.204921700223714,2.2053931451612905,0.0004714449375766705,1.0,1.0,0.0,0.37038031319910514,0.37163978494623656,0.0012594717471314243,0.00015432973703535506,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
watch_session_w3,retention,usage_observation,2.188903803131991,2.221438172043011,0.03253436891102002,1.0,1.0,0.0,0.3687695749440716,0.35735887096774194,-0.01141070397632965,0.010976478237508722,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
retention_w2_ratio,retention,retention_ratio,29.41738015991051,29.26623676033266,-0.15114339957785106,1.0,1.0,0.0,0.0,0.0,0.0,-0.001661288326660862,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
retention_w3_ratio,retention,retention_ratio,31.33263265172259,31.58756242237903,0.25492977065643885,1.0,1.0,0.0,0.0,0.0,0.0,0.0026464443996136082,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
diff_between_w2_w1,retention,retention_change,-2.265145413870246,-2.3215725806451615,-0.05642716677491544,0.0,0.0,0.0,0.1622371364653244,0.16994287634408603,0.007705739878761636,-0.00030021661129932476,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
diff_between_w3_w1,retention,retention_change,-1.3571364653243847,-1.3177083333333333,0.03942813199105144,0.0,0.0,0.0,0.14845637583892618,0.1442372311827957,-0.004219144656130491,0.0001871048661809142,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
diff_between_w3_w2,retention,retention_change,0.9080089485458613,1.003864247311828,0.09585529876596666,0.0,0.0,0.0,0.16563758389261746,0.1639784946236559,-0.00165908926896155,0.0005005122994051537,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
is_w1_over_50pct,activation,usage_observation,0.29261744966442954,0.2914986559139785,-0.0011187937504510415,0.0,0.0,0.0,0.7073825503355705,0.7085013440860215,0.001118793750450986,-0.0024603568781070106,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
is_w2_over_50pct,retention,usage_observation,0.26496644295302013,0.26226478494623656,-0.0027016580067835694,0.0,0.0,0.0,0.7350335570469798,0.7377352150537635,0.0027016580067836804,-0.006131626939123557,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
is_w3_over_50pct,retention,usage_observation,0.2833109619686801,0.28410618279569894,0.0007952208270188277,0.0,0.0,0.0,0.7166890380313199,0.7158938172043011,-0.0007952208270187722,0.0017639569095951049,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
is_only_w1,activation,usage_observation,0.10129753914988815,0.09652217741935484,-0.004775361730533306,0.0,0.0,0.0,0.8987024608501119,0.9034778225806451,0.0047753617305332785,-0.015995484742904603,negligible,"Descriptive effect size only, not statistical significance and not causal.",No p-values were created. Review columns remain excluded.
