trial,mean_valid_auc,mean_train_auc,gap,overfit,iterations,depth,learning_rate,l2_leaf_reg,border_count
192,0.8630006706873925,0.9424385788246384,0.07943790813724594,True,700,6,0.022584103424754663,4.8189625292423575,65
199,0.8629338658390395,0.9468863751777157,0.08395250933867615,True,807,6,0.021743175157903805,6.164531721551367,37
119,0.8628470509839687,0.950026488925236,0.08717943794126726,True,674,6,0.026058832039920602,4.125924560802461,58
139,0.862773000336461,0.9372775011952706,0.07450450085880966,True,671,6,0.020187787790526626,2.0241237275165167,43
107,0.8627713655714914,0.9338810863024672,0.07110972073097588,True,825,6,0.014908933208285057,1.1756735736255683,64
101,0.8627434125259189,0.9403692521055198,0.0776258395796009,True,897,6,0.01641850307313274,3.107635859205376,60
147,0.862638866723513,0.9524830427284042,0.08984417600489125,True,732,6,0.02440111202915139,2.8875501143876856,51
151,0.8625648358999574,0.9429010420938093,0.08033620619385196,True,726,6,0.021549628178800986,3.7919460774956404,53
106,0.8625443875624063,0.937038226550779,0.0744938389883727,True,897,6,0.014816766993203239,1.6871958539020981,64
183,0.8625333740468564,0.9294605065988266,0.06692713255197025,True,735,6,0.01761995853933839,4.935601473643944,62
96,0.8624985103572321,0.9539013749009569,0.09140286454372482,True,883,6,0.02059400135569175,3.1055992560346417,59
98,0.8624683488824807,0.941015922377151,0.07854757349467034,True,924,6,0.016099286593431,3.0161373873790778,49
181,0.86245401267467,0.9466518614290929,0.08419784875442282,True,716,6,0.023305901975102974,3.837731828003786,53
152,0.8624539529215539,0.9441726982386667,0.08171874531711276,True,717,6,0.021540925480429744,2.6232381793119415,52
182,0.8624358303870234,0.9380684495218146,0.07563261913479113,True,745,6,0.019843574860442213,4.690123762429745,63
92,0.8624063276019008,0.9524293102962185,0.09002298269431763,True,923,6,0.018550398670737704,1.9797529748939107,48
141,0.8623868752126814,0.9376599437668178,0.0752730685541364,True,674,6,0.020765114225619562,2.4208651990005903,41
189,0.8623813867330338,0.9379886628014074,0.07560727606837359,True,770,6,0.01918869443788792,4.92766933561178,68
120,0.8623813570896466,0.9519105619035647,0.08952920481391813,True,668,6,0.0275598384380619,4.3778866110505055,32
55,0.862380213189188,0.9350672958366555,0.07268708264746748,True,979,6,0.013588258205619538,2.4273215734459264,55
133,0.8623753711651341,0.9523392741187638,0.08996390295362977,True,853,6,0.0205827529874748,2.5771040776544942,37
178,0.8623595923403233,0.9490051445922422,0.08664555225191883,True,740,6,0.023626879642545145,4.653399257379386,59
174,0.8623401440975587,0.9536200954687777,0.09127995137121903,True,865,6,0.020682755685310125,2.454907871927307,54
145,0.8623352261797136,0.9346927338293565,0.07235750764964288,True,647,6,0.01989606949390314,1.761056708630204,55
159,0.8623285231830075,0.9448728275753673,0.08254430439235982,True,719,6,0.022785492774480557,4.355670683068795,53
191,0.8623261078445937,0.9346150415596423,0.07228893371504852,True,741,6,0.01916126190224273,5.577315462871597,60
194,0.8623187550038816,0.9397999029403714,0.07748114793648986,True,717,6,0.021435939780018207,5.4772447070486505,172
91,0.8623123348367774,0.9526626763711853,0.09035034153440791,True,925,6,0.018564920950379687,2.006967969316592,48
125,0.8622984349776889,0.9406211629604544,0.07832272798276552,True,755,6,0.019879466686358427,3.449727546880524,53
