population,modifier_flag,n,share,churn_rate,lift_vs_overall_churn_rate,captured_churners,churner_capture_rate,descriptive_only
holdout,modifier_low_or_no_early_engagement,1655,0.34645174795897005,0.4241691842900302,1.4779403306735772,702,0.5120350109409191,N
holdout,modifier_delayed_start,1261,0.2639732049403391,0.2727993655828707,0.9505197442665014,344,0.25091174325309995,N
holdout,modifier_late_week3_intensity,1196,0.25036633870630104,0.07859531772575251,0.2738510815287526,94,0.06856309263311451,N
holdout,modifier_genre_affinity_any,3449,0.7220012560184216,0.26268483618440125,0.9152775072595805,906,0.6608315098468271,N
holdout,modifier_price_promotion_context,3858,0.8076198450910613,0.3022291342664593,1.0530624174988157,1166,0.8504741064916119,N
holdout,modifier_week2_surge_small_sample,1199,0.2509943479171028,0.1292743953294412,0.450433104659913,155,0.11305616338439095,N
holdout,modifier_early_routine_review,1013,0.21205777684739377,0.4698914116485686,1.6372511111927153,476,0.34719183078045224,N
full_descriptive,modifier_low_or_no_early_engagement,7964,0.33276229473948105,0.4272978402812657,1.5247531253096067,3403,0.5073803488892202,Y
full_descriptive,modifier_delayed_start,6222,0.25997576567918773,0.24670523947283832,0.8803334570304815,1535,0.22886536454450573,Y
full_descriptive,modifier_late_week3_intensity,6040,0.25237120294154514,0.07566225165562913,0.26999025926258713,457,0.06813776651259877,Y
full_descriptive,modifier_genre_affinity_any,17429,0.7282413404086407,0.2591657582190602,0.9247970913160529,4517,0.6734754733860147,Y
full_descriptive,modifier_price_promotion_context,19430,0.8118497472109639,0.2930519814719506,1.045715382819173,5694,0.848963769196362,Y
full_descriptive,modifier_week2_surge_small_sample,6160,0.25738520035097984,0.12321428571428572,0.43967310272849264,759,0.11316534963471,Y
full_descriptive,modifier_early_routine_review,5132,0.2144319558768228,0.46512081060015587,1.6597191531375473,2387,0.35589682421350827,Y
