membership_row_id,w1_3_content_has_watch_obs,w1_3_genre_covered_watch_time,w1_3_genre_missing_watch_time,w1_3_genre_covered_watch_ratio,w1_3_genre_missing_watch_ratio,w1_3_genre_unique_count,w1_3_top_genre,w1_3_top_genre_watch_time,w1_3_top_genre_watch_ratio,w1_3_genre_entropy,w1_3_genre_ratio_drama,w1_3_genre_watch_time_drama,w1_3_genre_session_count_drama,w1_3_genre_ratio_thriller_crime,w1_3_genre_watch_time_thriller_crime,w1_3_genre_session_count_thriller_crime,w1_3_genre_ratio_sf_fantasy,w1_3_genre_watch_time_sf_fantasy,w1_3_genre_session_count_sf_fantasy,w1_3_genre_ratio_action_adventure,w1_3_genre_watch_time_action_adventure,w1_3_genre_session_count_action_adventure,w1_3_genre_ratio_animation_family,w1_3_genre_watch_time_animation_family,w1_3_genre_session_count_animation_family,w1_3_genre_ratio_romance,w1_3_genre_watch_time_romance,w1_3_genre_session_count_romance,w1_3_genre_ratio_comedy,w1_3_genre_watch_time_comedy,w1_3_genre_session_count_comedy,w1_3_genre_ratio_historical_war,w1_3_genre_watch_time_historical_war,w1_3_genre_session_count_historical_war,w1_3_genre_ratio_horror,w1_3_genre_watch_time_horror,w1_3_genre_session_count_horror,w1_3_genre_ratio_other,w1_3_genre_watch_time_other,w1_3_genre_session_count_other,w1_3_release_month_covered_watch_ratio,w1_3_avg_ott_release_month_weighted,w1_3_recent_content_watch_ratio,w1_3_old_content_watch_ratio
1,1,518.0,0.0,1.0,0.0,6,Drama,202.0,0.389961,1.680201,0.389961,202.0,3,0.361004,187.0,3,0.0,0,0,0.22973,119.0,4,0.003861,2.0,1,0.013514,7.0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.001931,1.0,1,1.0,201947.382239,0.416988,0.0
2,1,4.0,0.0,1.0,0.0,2,Action/Adventure,3.0,0.75,0.811278,0.25,1.0,1,0.0,0,0,0.0,0,0,0.75,3.0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,201929.25,0.25,0.0
3,1,129.0,0.0,1.0,0.0,2,Thriller/Crime,128.0,0.992248,0.065491,0.0,0,0,0.992248,128.0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.007752,1.0,1,0.0,0,0,0.0,0,0,0.0,0,0,1.0,201813.263566,0.007752,0.0
4,1,205.0,0.0,1.0,0.0,3,Comedy,106.0,0.517073,1.43759,0.0,0,0,0.326829,67.0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.156098,32.0,1,0.517073,106.0,1,0.0,0,0,0.0,0,0,0.0,0,0,1.0,201806.843902,0.0,0.0
5,0,0.0,0.0,0,0,0,,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
6,1,492.0,0.0,1.0,0.0,5,Thriller/Crime,267.0,0.542683,1.671923,0.0,0,0,0.542683,267.0,2,0.087398,43.0,1,0.0,0,0,0.0,0,0,0.121951,60.0,2,0.0,0,0,0.0,0,0,0.245935,121.0,2,0.0,0,0,1.0,201966.579268,0.510163,0.0
7,1,99.0,0.0,1.0,0.0,1,Thriller/Crime,99.0,1.0,0.0,0.0,0,0,1.0,99.0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,201806.0,0.0,0.0
8,0,0.0,0.0,0,0,0,,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
9,1,276.0,0.0,1.0,0.0,7,Romance,113.0,0.40942,2.237088,0.050725,14.0,2,0.032609,9.0,4,0.0,0,0,0.231884,64.0,6,0.0,0,0,0.40942,113.0,2,0.184783,51.0,2,0.025362,7.0,5,0.065217,18.0,1,0.0,0,0,1.0,201779.554348,0.427536,0.112319
10,1,170.0,0.0,1.0,0.0,1,SF/Fantasy,170.0,1.0,0.0,0.0,0,0,0.0,0,0,1.0,170.0,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,201403.0,0.0,1.0
11,1,954.0,0.0,1.0,0.0,6,Historical/War,411.0,0.430818,1.691227,0.378407,361.0,4,0.0,0,0,0.0,0,0,0.003145,3.0,1,0.0,0,0,0.154088,147.0,2,0.0,0,0,0.430818,411.0,8,0.01153,11.0,1,0.0,0,0,1.0,201668.361635,0.001048,0.209644
12,1,187.0,0.0,1.0,0.0,3,Drama,181.0,0.967914,0.225602,0.967914,181.0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.026738,5.0,1,0.005348,1.0,1,0.0,0,0,1.0,201710.973262,0.005348,0.0
13,1,502.0,0.0,1.0,0.0,2,SF/Fantasy,392.0,0.780876,0.758564,0.0,0,0,0.219124,110.0,1,0.780876,392.0,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,202073.209163,0.926295,0.0
14,1,275.0,0.0,1.0,0.0,2,Horror,174.0,0.632727,0.948555,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.367273,101.0,1,0.0,0,0,0.632727,174.0,3,0.0,0,0,1.0,202006.883636,1.0,0.0
15,1,771.0,0.0,1.0,0.0,5,Horror,269.0,0.348898,2.215189,0.177691,137.0,2,0.201038,155.0,3,0.0,0,0,0.111543,86.0,2,0.16083,124.0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.348898,269.0,4,0.0,0,0,1.0,201717.347601,0.115435,0.168612
16,1,19.0,0.0,1.0,0.0,3,Drama,16.0,0.842105,0.774243,0.842105,16.0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.105263,2.0,1,0.0,0,0,0.0,0,0,0.052632,1.0,1,0.0,0,0,0.0,0,0,1.0,201441.789474,0.0,0.894737
