feature_set_name,AARRR_stage,feature_count,compared_feature_count,avg_abs_standardized_difference,max_abs_standardized_difference,top_diff_features,interpretation_guardrail,notes
conservative_safe_22,Activation,6,6,0.007619506995696821,0.015995484742904603,"is_only_w1, is_cold_start_7d_fixed, is_cold_start_3d_fixed, watch_time_min_w1, watch_session_w1",AARRR stage summary is descriptive only and cannot establish promotion effect.,Observed difference summary only.
conservative_safe_22,Referral,0,0,,,,AARRR stage summary is descriptive only and cannot establish promotion effect.,Referral has no directly observed feature in this dataset; do not claim Referral was validated.
conservative_safe_22,Retention,16,16,0.007754084762564392,0.026469464503076266,"avg_gap_w3_watch_days, is_only_w2, is_only_w3, avg_gap_w2_watch_days, watch_session_w3",AARRR stage summary is descriptive only and cannot establish promotion effect.,Observed difference summary only.
expanded_feature_set,Acquisition,1,0,,,,AARRR stage summary is descriptive only and cannot establish promotion effect.,Observed difference summary only.
expanded_feature_set,Acquisition_context,12,12,0.26299932722869684,1.0187395091217883,"payment_is_ios, payment_is_mobile, is_premium, payment_is_pc, reg_hour_morning",AARRR stage summary is descriptive only and cannot establish promotion effect.,Observed difference summary only.
expanded_feature_set,Activation,6,6,0.007619506995696821,0.015995484742904603,"is_only_w1, is_cold_start_7d_fixed, is_cold_start_3d_fixed, watch_time_min_w1, watch_session_w1",AARRR stage summary is descriptive only and cannot establish promotion effect.,Observed difference summary only.
expanded_feature_set,Needs_user_review,4,4,0.6040587816696585,1.322578681085832,"is_user_verified, age_group, is_female, is_male",AARRR stage summary is descriptive only and cannot establish promotion effect.,Observed difference summary only.
expanded_feature_set,Referral,0,0,,,,AARRR stage summary is descriptive only and cannot establish promotion effect.,Referral has no directly observed feature in this dataset; do not claim Referral was validated.
expanded_feature_set,Retention,39,39,0.008302551446905842,0.02653392861180279,"recency, avg_gap_w3_watch_days, is_only_w2, is_only_w3, avg_gap_w2_watch_days",AARRR stage summary is descriptive only and cannot establish promotion effect.,Observed difference summary only.
expanded_feature_set,Retention_context,18,18,0.015836323439054917,0.1265347109374024,"is_churn_prevented, new_movie_in_90d_ratio, romance_ratio, historical_war_ratio, new_movie_in_180d_ratio",AARRR stage summary is descriptive only and cannot establish promotion effect.,Observed difference summary only.
