feature_set_name,window,model,timing_label,product_code_policy,watch_presence_policy,claim_status,includes_product_code,includes_watch_presence_flag,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,accuracy,balanced_accuracy,precision_churn_at_0_5,recall_churn_at_0_5,f1_churn_at_0_5,brier_score_repurchase,n_train,n_test,train_repurchase_rate,test_repurchase_rate,feature_count,post_transform_feature_count,train_test_USER_KEY_overlap
pruned_w1_3_core_interpretable_without_product_code_without_watch_presence_flag,w1_3,LogisticRegression,timing_sensitive_w1_3,without_product_code_default,without_watch_presence_flag_default,presentation_candidate_with_timing_caveat,N,N,0.811468306027078,0.9101365142528745,0.623909956344881,0.7718233200753611,0.6643628419063968,0.6654888103651354,0.41210795040116704,0.509009009009009,0.15312505074768548,19156,4777,0.721445,0.713,31,52,0
pruned_w1_3_core_interpretable_without_product_code_without_watch_presence_flag,w1_3,HistGradientBoostingClassifier,timing_sensitive_w1_3,without_product_code_default,without_watch_presence_flag_default,presentation_candidate_with_timing_caveat,N,N,0.8618577804732115,0.9380324026139758,0.6959010421371866,0.8107598911450701,0.7369902857316624,0.7164040778498609,0.5638220277169949,0.6310204081632653,0.13334558312605224,19156,4777,0.721445,0.713,31,52,0
pruned_w1_3_core_interpretable_with_product_code_without_watch_presence_flag,w1_3,LogisticRegression,timing_sensitive_w1_3,with_product_code_sensitivity,without_watch_presence_flag_default,sensitivity_only_product_memorization_risk,Y,N,0.8115014992635384,0.9102443018692679,0.6227112814782961,0.7722419928825622,0.6650922365088767,0.6662749706227967,0.4135667396061269,0.5103510351035103,0.15319889102720632,19156,4777,0.721445,0.713,32,108,0
pruned_w1_3_core_interpretable_with_product_code_without_watch_presence_flag,w1_3,HistGradientBoostingClassifier,timing_sensitive_w1_3,with_product_code_sensitivity,without_watch_presence_flag_default,sensitivity_only_product_memorization_risk,Y,N,0.861708303834183,0.9379114147439399,0.6951856554797776,0.8101318819342683,0.73720357904466,0.7132352941176471,0.5660102115244348,0.6311508743391623,0.1334313051495907,19156,4777,0.721445,0.713,32,108,0
pruned_w1_3_core_interpretable_without_product_code_with_watch_presence_flag,w1_3,LogisticRegression,timing_sensitive_w1_3,without_product_code_default,with_watch_presence_flag_sensitivity,sensitivity_only_watch_presence_proxy_risk,N,Y,0.8113280378342933,0.910058644007576,0.623606474819538,0.7716139836717605,0.6635623495329176,0.6658767772511849,0.4099197665937272,0.5074492099322799,0.15318464558745143,19156,4777,0.721445,0.713,32,53,0
pruned_w1_3_core_interpretable_without_product_code_with_watch_presence_flag,w1_3,HistGradientBoostingClassifier,timing_sensitive_w1_3,without_product_code_default,with_watch_presence_flag_sensitivity,sensitivity_only_watch_presence_proxy_risk,N,Y,0.8618577804732115,0.9380324026139758,0.6959010421371866,0.8107598911450701,0.7369902857316624,0.7164040778498609,0.5638220277169949,0.6310204081632653,0.13334558312605224,19156,4777,0.721445,0.713,32,53,0
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence_flag,w1_3,LogisticRegression,timing_sensitive_w1_3,without_product_code_default,without_watch_presence_flag_default,presentation_candidate_with_timing_caveat,N,N,0.7587754351205,0.8829933035051021,0.5098226235040783,0.7351894494452585,0.6029376870867175,0.5761494252873564,0.2924872355944566,0.38800193517174647,0.17111862117868895,19156,4777,0.721445,0.713,18,39,0
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence_flag,w1_3,HistGradientBoostingClassifier,timing_sensitive_w1_3,without_product_code_default,without_watch_presence_flag_default,presentation_candidate_with_timing_caveat,N,N,0.8159880470084756,0.9109064226286621,0.6236811083054621,0.7797781034121833,0.6895520112317346,0.6609485368314834,0.4777534646243618,0.554614733276884,0.1508071490047756,19156,4777,0.721445,0.713,18,39,0
pruned_w1_3_early_safer_week1_2_without_product_code_without_watch_presence_flag,w1_3,LogisticRegression,early_safer_w1_3_proxy,without_product_code_default,without_watch_presence_flag_default,mentor_safe_early_safer_proxy,N,N,0.7497066146196719,0.878414906229637,0.49701753912089164,0.7333054218128533,0.6000912064477969,0.5701881331403763,0.287381473377097,0.3821532492725509,0.17341092083850482,19156,4777,0.721445,0.713,16,37,0
pruned_w1_3_early_safer_week1_2_without_product_code_without_watch_presence_flag,w1_3,HistGradientBoostingClassifier,early_safer_w1_3_proxy,without_product_code_default,without_watch_presence_flag_default,mentor_safe_early_safer_proxy,N,N,0.8046508435579209,0.9060872330397628,0.6119470178491723,0.7720326564789617,0.6645096416715172,0.6662735849056604,0.41210795040116704,0.5092383956737269,0.1551389629811775,19156,4777,0.721445,0.713,16,37,0
