demographic_variable,category,promo_group,outcome_group,rows,share_within_group,interpretation_scope,forbidden_interpretation,source_file
age_group,40,promo0_non100won,churn,257,0.5171026156941649,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,20,promo0_non100won,churn,106,0.21327967806841047,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,30,promo0_non100won,churn,100,0.2012072434607646,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,50,promo0_non100won,churn,23,0.04627766599597585,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,60,promo0_non100won,churn,5,0.01006036217303823,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,10,promo0_non100won,churn,4,0.008048289738430584,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,70,promo0_non100won,churn,2,0.004024144869215292,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,40,promo0_non100won,repurchase,1808,0.5314520870076426,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,20,promo0_non100won,repurchase,715,0.21017048794826573,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,30,promo0_non100won,repurchase,661,0.19429747207524986,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,50,promo0_non100won,repurchase,129,0.03791887125220458,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,60,promo0_non100won,repurchase,42,0.012345679012345678,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,10,promo0_non100won,repurchase,38,0.011169900058788948,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,70,promo0_non100won,repurchase,9,0.0026455026455026454,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,20,promo1_100won,churn,317,0.41601049868766404,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,30,promo1_100won,churn,211,0.2769028871391076,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,40,promo1_100won,churn,134,0.17585301837270342,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,50,promo1_100won,churn,56,0.07349081364829396,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,60,promo1_100won,churn,22,0.028871391076115485,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,10,promo1_100won,churn,18,0.023622047244094488,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,70,promo1_100won,churn,4,0.005249343832020997,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,20,promo1_100won,repurchase,1336,0.41298299845440495,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,30,promo1_100won,repurchase,934,0.28871715610510046,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,40,promo1_100won,repurchase,525,0.16228748068006182,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,50,promo1_100won,repurchase,267,0.08253477588871716,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,60,promo1_100won,repurchase,83,0.025656877897990725,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,10,promo1_100won,repurchase,76,0.02349304482225657,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
age_group,70,promo1_100won,repurchase,14,0.004327666151468315,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
gender_derived,female_flag_1,promo0_non100won,churn,199,0.40040241448692154,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
gender_derived,unknown_or_unreported,promo0_non100won,churn,175,0.352112676056338,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
gender_derived,male_flag_1,promo0_non100won,churn,123,0.24748490945674045,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
gender_derived,female_flag_1,promo0_non100won,repurchase,1548,0.455026455026455,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
gender_derived,unknown_or_unreported,promo0_non100won,repurchase,1086,0.31922398589065254,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
gender_derived,male_flag_1,promo0_non100won,repurchase,768,0.2257495590828924,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
gender_derived,female_flag_1,promo1_100won,churn,470,0.6167979002624672,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
gender_derived,male_flag_1,promo1_100won,churn,292,0.38320209973753283,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
gender_derived,female_flag_1,promo1_100won,repurchase,1994,0.6163833075734158,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
gender_derived,male_flag_1,promo1_100won,repurchase,1239,0.3829984544049459,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
gender_derived,unknown_or_unreported,promo1_100won,repurchase,2,0.0006182380216383308,message_personalization_context_only,do_not_interpret_as_churn_cause_or_segment_rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
