row_id,USER_KEY,is_repurchase,is_promotion,repurchase_score,churn_risk,risk_rank_desc,risk_percentile_desc,representative_segment,segment_priority,flag_high_risk_top10,flag_high_risk_top20,flag_low_risk_stable,flag_cold_start_weak,flag_strong_early_activation,flag_week3_inactive,flag_only_w1,flag_week3_drop,flag_retention_decay,flag_retention_stable,flag_heavy_user,flag_low_activity,flag_genre_focused,flag_new_movie_oriented,flag_old_movie_oriented,flag_age40_unverified_ios,total_watch_count,total_watch_time_min,watch_days,active_ratio,recency,watch_time_min_w1,watch_time_min_w2,watch_time_min_w3,watch_session_w1,watch_session_w2,watch_session_w3,retention_w2_ratio,retention_w3_ratio,diff_between_w2_w1,diff_between_w3_w2,watch_ratio_under_1m,watch_ratio_under_5m,is_cold_start_3d_fixed,is_cold_start_7d_fixed,genre_diversity_count,old_movie_ratio_5y,new_movie_in_365d_ratio,max_genre_ratio,payment_is_mobile,payment_is_pc,payment_is_android,payment_is_ios,is_user_verified,age_group,is_female,is_male,dominant_genre_proxy
3,534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913fcbe40bbb84f8779ab1fde8f4653122faa2cefe34b5b099d4a251f6eb5d22953218a6b3,1,0,0.7296931276923609,0.270306872307639,9248,40.07106027124225,general_observation,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,21,0,0,0,0,0,0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,40,0,0,action_adventure
6,1d47cdbe7f7016e6c3f42cb08e37db55548481ffa31122e1a18a27ce9cbf48909626edb727951dca8222d839d8d72138b6ddadf0da7c4f0fb0e17723f23f2759,0,0,0.7296931276923609,0.270306872307639,9249,40.075393214610685,general_observation,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,21,0,0,0,0,0,0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,40,0,0,action_adventure
7,985ed8305ba05d88f22ad4b4dc1b832af4eb66d39d9ff5cd21613bf6ebc66258516a3ffa5afdf9e45160d505b5a18acab7e9a7dd6eb8b3b6d551a88e1ca46643,1,1,0.9849683754946376,0.0150316245053623,21107,91.4554356774557,general_observation,7,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,22,276,8,0.380952,4,26,80,170,3,8,11,3.0,2.111111,54,90,0.363636,0.636364,1,1,7,0.181818,0.409091,0.40942,0,0,1,0,1,40,0,1,romance
10,482a8174f937ec686cfed3dd029604b33df40d4d7616a7e9c985fb6b19f44d58c8aeb01c318ea12601bb501a5b17a6d3c867d1f2a68deecbba5ffda494328a49,1,1,0.9514715128861732,0.0485284871138267,16524,71.5975562199402,general_observation,7,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,5,187,4,0.190476,10,22,165,0,3,2,0,7.217391,0.006024,143,-165,0.2,0.4,0,1,3,0.0,0.2,0.967914,0,0,1,0,1,40,1,0,drama
14,62d5dd48072abc952b8e743dc11579f59063fd20e5ff590ab011c2386ba0b2e50ad926dbb12032dd2211d77da940efa086b5a69ca481124f0f5fa23551f274ca,1,0,0.9439122837204036,0.0560877162795965,15914,68.9544607651978,general_observation,7,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,3,19,2,0.095238,7,1,18,0,1,2,0,9.5,0.052632,17,-18,0.333333,0.666667,0,1,3,0.666667,0.0,0.842105,0,0,1,0,0,30,0,0,drama
16,ba6fee19b0ee3f777057486ec4fd8ae2bdec4d861a1ef617920e87e604e41961ab06b66708017602e96c5fe01619c28614bb60af65f3787b126bf232c89a2eaf,1,1,0.9812870851971792,0.0187129148028208,20360,88.21872698123836,general_observation,7,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,24,1018,10,0.47619,0,0,979,39,0,19,5,980.0,0.040816,979,-940,0.125,0.333333,0,0,9,0.25,0.041667,0.318271,1,0,0,0,1,20,0,1,drama
19,f4fbd206eb9c6bee476a2d25b16a18eaaa05690b48a6de8d06670744fc129469fd584369d7eb709e806c87f36618426f059e9e0083651ac098b0324a312d0e3f,1,0,0.7372119504337225,0.2627880495662775,9457,40.976645435244166,general_observation,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,21,0,0,0,0,0,0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,1,20,1,0,action_adventure
24,6d45315d362a00f79ee58e71c8f5f53221dd01b9816370548356290293bd1ec6afc1b182d7a5bbc5e30490e25883a06dd08a33a934c093e3b9476208c168067f,0,0,0.9042255122919878,0.0957744877080122,13790,59.75128905065211,general_observation,7,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,12,1,0.047619,5,0,0,12,0,0,1,1.0,13.0,0,12,0.0,0.0,0,0,1,0.0,0.0,1.0,0,0,0,1,0,40,1,0,romance
25,e4928824e8ad9da6a73129ef84ee2a2204c2a4679729d3550628432311dc07f0b351ef3a5799d68bbdf50b930d1c775c3bbd585286c850392d88806a73f94575,1,0,0.9169374837527946,0.0830625162472054,14374,62.28172797781533,general_observation,7,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,2,40,2,0.095238,11,0,40,0,0,2,0,41.0,0.02439,40,-40,0.5,0.5,0,0,1,0.0,0.0,1.0,0,0,0,1,0,40,0,0,family_animation
29,f2a83e1251239860e793fe15c0e5bec01cea7cd6a1ad2bc23eb6f6388f2684a4bf7035ea33fcf99668145681f86395beb84c47466f16451b78890e6870759a05,0,0,0.7589202160946057,0.2410797839053943,10069,43.62840677672343,general_observation,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,21,0,0,0,0,0,0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,30,0,1,action_adventure
