target_rule_segment_id,rule_component,component_definition,promo_group,outcome_group,rows_in_group,component_satisfied_rows,component_satisfied_rate,source_file,caveat
high_risk_week3_inactive_or_drop,flag_high_risk_top20,flag_high_risk_top20 == 1,promo0_non100won,churn,497,4,0.008048289738430584,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_week3_inactive_or_drop,flag_high_risk_top20,flag_high_risk_top20 == 1,promo0_non100won,repurchase,3402,2,0.0005878894767783657,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_week3_inactive_or_drop,flag_high_risk_top20,flag_high_risk_top20 == 1,promo1_100won,churn,762,29,0.03805774278215223,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_week3_inactive_or_drop,flag_high_risk_top20,flag_high_risk_top20 == 1,promo1_100won,repurchase,3235,11,0.0034003091190108192,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_week3_inactive_or_drop,flag_week3_inactive_or_drop_or_retention_decay,flag_week3_inactive == 1 OR flag_week3_drop == 1 OR flag_retention_decay == 1,promo0_non100won,churn,497,337,0.6780684104627767,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_week3_inactive_or_drop,flag_week3_inactive_or_drop_or_retention_decay,flag_week3_inactive == 1 OR flag_week3_drop == 1 OR flag_retention_decay == 1,promo0_non100won,repurchase,3402,2362,0.6942974720752498,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_week3_inactive_or_drop,flag_week3_inactive_or_drop_or_retention_decay,flag_week3_inactive == 1 OR flag_week3_drop == 1 OR flag_retention_decay == 1,promo1_100won,churn,762,451,0.5918635170603674,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_week3_inactive_or_drop,flag_week3_inactive_or_drop_or_retention_decay,flag_week3_inactive == 1 OR flag_week3_drop == 1 OR flag_retention_decay == 1,promo1_100won,repurchase,3235,1997,0.6173106646058732,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_only_w1_or_cold_start_weak,flag_high_risk_top20,flag_high_risk_top20 == 1,promo0_non100won,churn,497,4,0.008048289738430584,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_only_w1_or_cold_start_weak,flag_high_risk_top20,flag_high_risk_top20 == 1,promo0_non100won,repurchase,3402,2,0.0005878894767783657,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_only_w1_or_cold_start_weak,flag_high_risk_top20,flag_high_risk_top20 == 1,promo1_100won,churn,762,29,0.03805774278215223,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_only_w1_or_cold_start_weak,flag_high_risk_top20,flag_high_risk_top20 == 1,promo1_100won,repurchase,3235,11,0.0034003091190108192,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_only_w1_or_cold_start_weak,flag_only_w1_or_cold_start_weak,flag_only_w1 == 1 OR flag_cold_start_weak == 1,promo0_non100won,churn,497,211,0.4245472837022133,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
