item,located_path,file_role,rows_if_applicable,columns_if_applicable,dataset_variant,scope,model_if_applicable,score_type_if_applicable,sha256,status,caveat
FINAL final_note,FINAL\final_note.md,project-level current decision note,,,,,,,82df16b39a648bef090c66e811d54015b592fcbab31da7739b3067ccdaae1043,read,
FINAL project execution plan,FINAL\project_execution_plan_260521.md,project-level execution constraints,,,,,,,6ce5179663a6c43c5a8a813dfc3de36bd89b0e6840ebc8a029c222851ce68a4c,read,
park 17x README,park.ingyeom\reports\segments\17x_segmentation_design_260516\README.md,17x basis explanation,,,expanded_no_payment_device,overall_with_promotion,LightGBM,OOF churn_risk,8852c27b1b174c6751fcc2ab59f696159667ed6fc1f15eaf29d8a1766b428332,read,
park 17x assignment,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,park17x_basis representative assignment,23079,10,expanded_no_payment_device,overall_with_promotion,LightGBM,OOF churn_risk,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62,read,
park 17x rules,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,representative segment rule source,7,8,,,,,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5,read,
park 17x multiflag definitions,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,existing internal flag definition source,16,9,,,,,5daa58acac5f8917cbfb20f594e661ff5504f893df8dbc8dac284fcc8b3f1c3b,read,
park 17x segment summary,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_summary.csv,segment count and metrics source,7,15,expanded_no_payment_device,overall_with_promotion,LightGBM,OOF churn_risk,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,read,
park 17x base datamart,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv,park17x_basis feature and flag table,23079,58,expanded_no_payment_device,overall_with_promotion,LightGBM,OOF churn_risk,0554f0eda743c525ecf8edd777afe04e0d15318b60dd6a3959b3a06f826a88cd,read,
park 17x score selection,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,score source declaration,4,14,expanded_no_payment_device,overall_with_promotion,LightGBM,OOF churn_risk,43351609814c1529d6930fcc2f51e9dbb50900ce08c35e5e0a7fb7902804a95b,read,
06x expanded dataset,park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_expanded_dataset.csv,row-level source dataset linkable by row_id/order,23079,82,expanded,overall,,,7044e2b6d6a6cbd4877c3d342bd9fd286c7a4241d074d26b02e29af4ab686364,read,
15x expected OOF score file from 17x selection,C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_oof_predictions.csv,declared 15x row-level OOF source,,,expanded_no_payment_device,overall_with_promotion,LightGBM,OOF,,missing,"17x_score_source_selection declares this path, but row-level OOF CSV is not present in current local folder; 17x base datamart contains the score columns used for assignment."
15x model summary,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_summary_by_scope.csv,available 15x score/model summary,12,11,expanded_no_payment_device,overall_with_promotion,LightGBM,OOF metric summary,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,read,
existing promo integration audit,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\04_general_observation_decomposition_audit.csv,prior S7 general_observation audit,38,11,,,,,b682c26661d6e6dbc74f604f76bb2dd508ddf29b14193ad4afe9adb271cf07a3,read,
existing promo score decision audit,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\10_final_score_source_decision_audit.csv,prior park vs PUBLIC score decision audit,7,15,,,,,089bc12480772bcab52d0176f3d03a8eec41c9d1903531987fe987ce63106aaa,read,
PUBLIC note,PUBLIC\note.md,reference branch note only,,,PUBLIC log-retention,promo-scope,GradientBoosting/LogisticRegression,OOF,b3d70c83a311fe279c58b4dc7e4e33bb81a068c60386352397d31e9ec408fd55,read,Reference only; not merged into park17x_basis.
PUBLIC 17 assignment hotfix,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,reference branch segment assignment,23097,13,"PUBLIC 23,097",promo0/promo1,GradientBoosting/LogisticRegression,OOF churn_risk,6dc256ba9e91973ecb5136b85b1b02ca8826ffad1397bf51821df11925df59a7,read_header,Reference only; not merged into park17x_basis.
PUBLIC 17 summary hotfix,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_summary_hotfix.csv,reference branch segment summary,14,19,"PUBLIC 23,097",promo0/promo1,GradientBoosting/LogisticRegression,OOF churn_risk,2cb97fc1908754a863f48af4e88197f88d3cc5a103f0fb382f0946efc28f2114,read,
PUBLIC 15 OOF wide hotfix,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide.csv,reference branch OOF score source,23097,16,"PUBLIC 23,097",promo0/promo1,GradientBoosting/LogisticRegression,OOF,1f3af6a7d7baf8a1536f40510796b07125e8410f43bfb3dcac63f17e970ad452,read_header,
