feature_name,feature_family,category_or_value,comparison,group_a_n,group_b_n,group_a_rate,group_b_rate,difference_pp,rank_by_abs_difference,policy_caveat,source_file
dominant_genre_proxy,content_proxy,action_adventure,promo0_churn_vs_promo0_repurchase,497,3402,0.4164989939637827,0.20458553791887124,21.191345604491147,1.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,drama,promo0_churn_vs_promo0_repurchase,497,3402,0.1006036217303823,0.20899470899470898,-10.839108726432668,2.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,romance,promo0_churn_vs_promo0_repurchase,497,3402,0.052313883299798795,0.10670194003527336,-5.438805673547456,3.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_7d_fixed,activation,0,promo0_churn_vs_promo0_repurchase,497,3402,0.5754527162977867,0.5361552028218695,3.9297513475917256,4.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_7d_fixed,activation,1,promo0_churn_vs_promo0_repurchase,497,3402,0.4245472837022133,0.4638447971781305,-3.9297513475917203,5.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,family_animation,promo0_churn_vs_promo0_repurchase,497,3402,0.08048289738430583,0.11316872427983539,-3.2685826895529555,6.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,thriller_crime,promo0_churn_vs_promo0_repurchase,497,3402,0.096579476861167,0.07495590828924162,2.162356857192538,7.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,historical_war,promo0_churn_vs_promo0_repurchase,497,3402,0.04225352112676056,0.06319811875367431,-2.0944597626913755,8.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,comedy,promo0_churn_vs_promo0_repurchase,497,3402,0.07042253521126761,0.09082892416225749,-2.040638895098988,9.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_3d_fixed,activation,0,promo0_churn_vs_promo0_repurchase,497,3402,0.7344064386317908,0.7204585537918872,1.3947884839903613,10.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_3d_fixed,activation,1,promo0_churn_vs_promo0_repurchase,497,3402,0.2655935613682093,0.2795414462081129,-1.3947884839903613,10.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
