transformed_feature,coefficient,interpretation,causality_claim
transformed_feature_0027,-0.7089934955318122,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0017,-0.6340878695666022,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0006,-0.5004082366146639,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0026,-0.4476402279629031,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0023,-0.4122121782773413,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0002,-0.3754590300079742,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0019,-0.29585212862129123,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0022,-0.2672576720903283,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0009,-0.25982658728235264,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0020,-0.1540816710827939,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0021,-0.12014534781138367,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0024,-0.11341058666605779,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0025,-0.0975149898577471,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0018,-0.060669331691414696,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0000,-0.058932436425915787,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0010,-0.04029163500138993,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0003,-0.0352904732116621,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0005,-0.017681320006664638,negative_associated_with_higher_churn_risk,not_allowed
transformed_feature_0004,0.05419318285446228,positive_pushes_toward_repurchase,not_allowed
transformed_feature_0029,0.07139649247749608,positive_pushes_toward_repurchase,not_allowed
transformed_feature_0007,0.10419048341905793,positive_pushes_toward_repurchase,not_allowed
transformed_feature_0001,0.15224350662212346,positive_pushes_toward_repurchase,not_allowed
transformed_feature_0028,0.20369654406608828,positive_pushes_toward_repurchase,not_allowed
transformed_feature_0013,0.24228179377627615,positive_pushes_toward_repurchase,not_allowed
transformed_feature_0016,0.2974539828787221,positive_pushes_toward_repurchase,not_allowed
transformed_feature_0011,0.43101399877469043,positive_pushes_toward_repurchase,not_allowed
transformed_feature_0015,0.5043109557165089,positive_pushes_toward_repurchase,not_allowed
transformed_feature_0008,0.5250888192001916,positive_pushes_toward_repurchase,not_allowed
transformed_feature_0014,0.5849476449621207,positive_pushes_toward_repurchase,not_allowed
transformed_feature_0012,0.6724926711969486,positive_pushes_toward_repurchase,not_allowed
