model,fold,n_train,n_valid,valid_positive_rate,train_roc_auc,train_pr_auc,train_log_loss,train_brier,train_accuracy,train_precision,train_recall,train_f1,test_roc_auc,test_pr_auc,test_log_loss,test_brier,test_accuracy,test_precision,test_recall,test_f1,roc_auc_gap,pr_auc_gap,f1_gap
LogisticRegression,1,18674,4669,0.7155707860355537,0.8541106326337841,0.9339499542062082,0.484184613972555,0.1574551999517999,0.7715540323444361,0.8994992532724237,0.7663348551755108,0.8275945683802134,0.8489521164574491,0.9345101044536587,0.4956367576049804,0.16206868719809103,0.7558363675305204,0.8934572756524848,0.7479796468123316,0.8142717497556208,0.005158516176335004,-0.000560150247450486,0.013322818624592614
RandomForest,1,18674,4669,0.7155707860355537,0.9750366732677352,0.99080914012404,0.2821787230845033,0.07869125668678392,0.9133554674949127,0.9713414144657623,0.9056208367637153,0.9373305445812998,0.8619633803096253,0.9400181586155265,0.4321878459284634,0.13884276558311398,0.7993146284000857,0.8719059405940595,0.8434600419036217,0.8574471322075156,0.11307329295810997,0.050790981508513466,0.07988341237378427
GradientBoosting,1,18674,4669,0.7155707860355537,0.8865587037895802,0.9506417512749071,0.38560326331876876,0.12306145060429959,0.8210881439434508,0.8428688748973446,0.9217872913704064,0.8805634004218353,0.875839109205454,0.9488363434887493,0.40063354546143043,0.1295776232320986,0.812807881773399,0.836195148541837,0.9182879377431906,0.875320970042796,0.01071959458412619,0.0018054077861577866,0.005242430379039376
XGBoost,1,18674,4669,0.7155707860355537,0.9134286967191301,0.9652092343705658,0.3879690741502975,0.12392457700023071,0.8224269037163972,0.9425500044056745,0.8006137265174762,0.8658033184945366,0.8801487001583106,0.9501438459601538,0.4337667781771904,0.14164136349689505,0.7909616620261298,0.9174020472996823,0.7779108051481592,0.8419177194687398,0.03327999656081948,0.01506538841041205,0.02388559902579679
LightGBM,1,18674,4669,0.7155707860355537,0.9572914294313044,0.9841935410974803,0.30297860138498617,0.09208415266861462,0.874424333297633,0.9725463280713795,0.8484394880622708,0.9062637406563537,0.8785635658467452,0.9491796014448902,0.42049425207689567,0.1377555341764278,0.7971728421503534,0.9082537517053206,0.797066746483089,0.8490355491790212,0.07872786358455919,0.03501393965259003,0.05722819147733249
CatBoost,1,18674,4669,0.7155707860355537,0.9017807882072143,0.9595877775655829,0.4113004388096965,0.1315003091045616,0.8120916782692513,0.9335504312621017,0.7938777037646882,0.8580673866440157,0.8802877628442534,0.9502092952343149,0.44105012282201334,0.14311929938635762,0.7901049475262368,0.919360568383659,0.7746183777312182,0.8408057179987004,0.021493025362960938,0.009378482331268034,0.01726166864531531
LogisticRegression,2,18674,4669,0.7155707860355537,0.8526704814782055,0.93374796809022,0.48654325212842725,0.15840230040810124,0.7669486987255006,0.8961393017324774,0.7626674650101041,0.824033640627527,0.8558849660840309,0.9348660270738882,0.477074153941938,0.15458968509168206,0.7742557292782181,0.897186523098298,0.7731218198144268,0.8305466237942122,-0.0032144846058254073,-0.0011180589836682353,-0.006512983166685138
RandomForest,2,18674,4669,0.7155707860355537,0.9747259684601657,0.9907154121984312,0.2831841849708657,0.07903080181534697,0.9160865374317233,0.9731985235114748,0.9077164882868048,0.9393176625488905,0.8621804262846057,0.9387933229867328,0.4277747433349896,0.13752650852536424,0.7997429856500321,0.8674404398289554,0.8500448967375037,0.8586545729402872,0.11254554217556001,0.051922089211698386,0.08066308960860324
GradientBoosting,2,18674,4669,0.7155707860355537,0.8863013608704344,0.9512177622519593,0.3859590852329838,0.12346345190662576,0.8205526400342722,0.8429491571878854,0.9207394656088617,0.8801287783938473,0.8741135598965752,0.9446255992307233,0.398887153637259,0.12848982859098218,0.8110944527736131,0.83419407447676,0.9185872493265489,0.8743589743589744,0.012187800973859186,0.006592163021235997,0.005769804034872927
XGBoost,2,18674,4669,0.7155707860355537,0.9128839279049332,0.9653409174964709,0.3884571704193919,0.12441049556979639,0.8215700974617115,0.9435647943387881,0.7983683855998802,0.8649152679802157,0.8795798278417472,0.9477586344111739,0.4265429805608948,0.13874373446347885,0.7943885200257015,0.9146638801811215,0.7859922178988327,0.845460399227302,0.03330410006318607,0.017582283085296968,0.01945486875291369
LightGBM,2,18674,4669,0.7155707860355537,0.9566089029859316,0.983941496638108,0.3043979137708723,0.09286698362962886,0.8731926743065225,0.9721673395756378,0.84701743881446,0.9052875769938405,0.8797206936095174,0.9482873052435257,0.4127388266980691,0.13442997523923586,0.8016705932747912,0.9039812646370023,0.8087398982340617,0.8537124802527646,0.07688820937641416,0.03565419139458237,0.051575096741075965
CatBoost,2,18674,4669,0.7155707860355537,0.9009357319868445,0.9596172446237841,0.4125359873245871,0.13216203300423315,0.8078076469958231,0.9343111111111111,0.7866926128283811,0.8541708991914184,0.8808380408794712,0.9484092170652529,0.43148674058438835,0.1393511225362916,0.7916041979010495,0.9145658263305322,0.7818018557318168,0.8429885428433113,0.02009769110737336,0.01120802755853112,0.011182356348107159
LogisticRegression,3,18674,4669,0.7153566074105804,0.85389135966858,0.9345171758614874,0.4843240521053824,0.15763503812716456,0.7689836135803791,0.8970510795155345,0.7649303996407724,0.8257392147358216,0.8511675295008178,0.9322152381698984,0.4932869294592727,0.1594686166467597,0.7689012636538873,0.8993288590604027,0.7622754491017965,0.8251498946686112,0.002723830167762231,0.00230193769158904,0.0005893200672103527
RandomForest,3,18674,4669,0.7153566074105804,0.9749444990334035,0.9907840281654192,0.2820393654674169,0.07859958831260809,0.9156045839134626,0.9696365954733822,0.9105672803472534,0.9391740640679275,0.8616314774514177,0.9412777976124005,0.43221387342640544,0.13940068047207266,0.7946026986506747,0.8648482991112473,0.8449101796407186,0.8547629865212782,0.11331302158198586,0.049506230553018726,0.08441107754664923
GradientBoosting,3,18674,4669,0.7153566074105804,0.8875873315331375,0.9511260606427601,0.38427365032591465,0.12257259632765627,0.82285530684374,0.8443622414029319,0.9224666966023051,0.8816881258941345,0.8699045475640143,0.943245401810499,0.4060661775434344,0.13149829687157877,0.8063825230242022,0.8300813008130081,0.917065868263473,0.8714082503556188,0.01768278396912326,0.007880658832261078,0.010279875538515726
XGBoost,3,18674,4669,0.7153566074105804,0.9138218159458669,0.9653917028391783,0.3867242980590014,0.12339026274658962,0.821409446288958,0.9419127368884971,0.7997305792546026,0.8650180110899744,0.8781905714530308,0.9481386535242659,0.43414907831171834,0.14145013378467022,0.7901049475262368,0.9149085794655415,0.7790419161676647,0.8415265200517464,0.035631244492836056,0.01725304931491245,0.023491491038228007
LightGBM,3,18674,4669,0.7153566074105804,0.9564005629613199,0.9838948318592391,0.30374574250553443,0.09228994559411434,0.8753346899432366,0.9720225872689938,0.8502469690166142,0.907065868263473,0.8781512595576342,0.9487071101389778,0.41887211501099153,0.13693589166053877,0.7956735917755408,0.9041327913279132,0.7991017964071856,0.8483788938334393,0.07824930340368574,0.0351877217202613,0.05868697443003368
CatBoost,3,18674,4669,0.7153566074105804,0.90244756247712,0.9599280982350904,0.4099482848731862,0.1309597578379503,0.8131091356966906,0.9331344331344331,0.7958389462655291,0.8590354632845949,0.8762371419688839,0.9475230758115862,0.44373658037896446,0.14385791352858085,0.7883915185264511,0.9126315789473685,0.7787425149700599,0.8403877221324717,0.026210420508236076,0.012405022423504164,0.0186477411521232
LogisticRegression,4,18675,4668,0.715509854327335,0.8533009830670946,0.9343628211205701,0.4864550361501208,0.158093904964208,0.7680856760374832,0.8978764648867742,0.762610387666517,0.824733924163328,0.8528274024240675,0.93360196597295,0.48189749333156917,0.15696738859835604,0.7705655526992288,0.8935137010058967,0.7712574850299401,0.8278965129358831,0.0004735806430270495,0.0007608551476201431,-0.0031625887725550417
RandomForest,4,18675,4668,0.715509854327335,0.975172133442179,0.9909309066517742,0.2825694226765385,0.07870115714589163,0.9181258366800535,0.9734336240697767,0.9104176021553659,0.9408716501024789,0.8640957542745835,0.9389115455347388,0.4282319291770454,0.1368945287614392,0.8071979434447301,0.8742331288343558,0.8532934131736527,0.8636363636363636,0.1110763791675955,0.05201936111703542,0.07723528646611522
GradientBoosting,4,18675,4668,0.715509854327335,0.8872151582172862,0.9511753817986552,0.38529652464289743,0.12307479425107046,0.8239892904953146,0.8451051585942317,0.9232150875617423,0.8824349940985013,0.8741214107928722,0.9443644617519893,0.39950390390124135,0.12852647027322747,0.8093401885175664,0.8328804347826086,0.9176646706586826,0.8732193732193733,0.013093747424414048,0.006810920046665947,0.009215620879128084
XGBoost,4,18675,4668,0.715509854327335,0.9135357640023695,0.9653672944197365,0.38744101607647624,0.12386799451477733,0.8213654618473896,0.9414406481155336,0.8001047747343212,0.8650376244032689,0.8792284782843951,0.9467018840692556,0.43001883657999773,0.13989399268732666,0.7952013710368466,0.9138888888888889,0.7880239520958083,0.8463022508038586,0.03430728571797437,0.01866541035048086,0.018735373599410354
LightGBM,4,18675,4668,0.715509854327335,0.9566490768732038,0.9839894261018589,0.3043265285095534,0.0928174767807956,0.8738955823293173,0.9723628873058107,0.8478521179464152,0.9058489585415583,0.87985534954188,0.9470910782980324,0.4157357057180658,0.13513629671817842,0.8041988003427593,0.9092442645074224,0.8068862275449101,0.8550126903553299,0.07679372733132372,0.0368983478038265,0.05083626818622844
CatBoost,4,18675,4668,0.715509854327335,0.9021298308016646,0.9597927052117678,0.4108802865552434,0.13158793521960327,0.8111914323962517,0.9331513123128413,0.792920221523724,0.8573393753034472,0.8803175275954116,0.9474148537501286,0.43544094617230483,0.14085739628612165,0.7975578406169666,0.9188527457152851,0.7865269461077844,0.8475560574286175,0.021812303206253048,0.012377851461639278,0.009783317874829667
LogisticRegression,5,18675,4668,0.715509854327335,0.855493023427074,0.9357355501234821,0.4834881124881304,0.1569801811633378,0.7700133868808567,0.8991108372215864,0.7643316868732226,0.8262610735811659,0.8440985498881756,0.9274540917752028,0.49651188631800536,0.16258535497186538,0.7579263067694945,0.8904593639575972,0.7544910179640718,0.8168557536466775,0.011394473538898442,0.008281458348279314,0.009405319934488343
RandomForest,5,18675,4668,0.715509854327335,0.9750225538525259,0.9908269587314539,0.2823472292046377,0.07892613149061171,0.9151807228915663,0.9740782482691998,0.9055530609190241,0.9385665529010239,0.8568382061178847,0.9339962622195978,0.4402957646177898,0.141702892751346,0.7964867180805484,0.8781645569620253,0.8308383233532934,0.8538461538461538,0.11818434773464115,0.05683069651185613,0.08472039905487005
GradientBoosting,5,18675,4668,0.715509854327335,0.8875727533065345,0.952098998613246,0.3839050126877338,0.12277499172209361,0.8226506024096386,0.8440366972477065,0.9226163747941925,0.881578947368421,0.8652708137940985,0.9376280554084686,0.408937376275335,0.1315486451181914,0.8110539845758354,0.8395027624309392,0.9098802395209581,0.8732758620689656,0.022301939512435975,0.014470943204777376,0.008303085299455448
