membership_row_id,USER_KEY,is_repurchase,price,max_screen,is_promotion,is_user_verified,gender,age,payment_device,billing_method,w1_4_total_sessions,w1_4_unique_contents,w1_4_unique_watch_days,w1_4_avg_watch_time_per_session,w1_4_week1_watch_time,w1_4_week2_watch_time,w1_4_week1_sessions,w1_4_week2_sessions,w1_4_week3_watch_time,w1_4_week3_sessions,w1_4_week4_watch_time,w1_4_week4_sessions,w1_4_genre_ratio_action_adventure,w1_4_genre_ratio_animation_family,w1_4_genre_ratio_comedy,w1_4_genre_ratio_drama,w1_4_genre_ratio_historical_war,w1_4_genre_ratio_horror,w1_4_genre_ratio_other,w1_4_genre_ratio_romance,w1_4_genre_ratio_sf_fantasy,w1_4_genre_ratio_thriller_crime,w1_4_genre_entropy,w1_4_genre_covered_watch_ratio,w1_4_recent_content_watch_ratio
1,7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc144b0f23979d3794e250b9dd3a5c9a663e2fba6bb142541282756d406d98ee9e5b233153,Y,100.0,4.0,O,Y,F,20.0,pc,134,13,10,9,39.846154,191.0,313.0,3,8,14.0,2,0.0,0,0.22973,0.003861,0.0,0.389961,0.0,0.0,0.001931,0.013514,0.0,0.361004,1.680201,1.0,0.416988
2,4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef4594ee72306b661c43d19086f82f85f02bbb5716280f52bb7f0fde823a0656a830a0e6e41f,N,100.0,1.0,O,Y,F,25.0,pc,190,3,3,2,1.333333,3.0,1.0,2,1,0.0,0,0.0,0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.811278,1.0,0.25
3,01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793d3f9d03a560771374901302484d7598e771f39abbd8766c54f38753186b3f17eee9fb48,N,100.0,2.0,O,N,F,20.0,android,180,2,2,1,64.5,0.0,129.0,0,2,0.0,0,0.0,0,0.0,0.0,0.007752,0.0,0.0,0.0,0.0,0.0,0.0,0.992248,0.065491,1.0,0.007752
4,d2f2278c38ea110d35afb55fa20ccf96d735e1254c1fd40b7d236216701246044bf1e2d6efb1a7b6024230cb6d821e4ad21718d3e20a9695ce38937d843f7414,Y,100.0,1.0,O,,,,mobile,190,3,3,3,68.333333,67.0,0.0,1,0,138.0,2,0.0,0,0.0,0.0,0.517073,0.0,0.0,0.0,0.0,0.156098,0.0,0.326829,1.43759,1.0,0.0
5,534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913fcbe40bbb84f8779ab1fde8f4653122faa2cefe34b5b099d4a251f6eb5d22953218a6b3,Y,7900.0,1.0,,N,N,40.0,android,151,4,1,1,51.5,0.0,0.0,0,0,0.0,0,206.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
6,70da9913e0b9dd104fe781fd724bf1423f4cb4416f640e5d6820aa4cf4797841e27860fc7c8b0310348100c53cc861448978dc74d15f6f527d1e68cc0469d6a6,Y,100.0,1.0,O,Y,F,25.0,pc,190,22,12,8,31.954545,0.0,214.0,0,5,278.0,3,211.0,14,0.0,0.079659,0.0,0.0,0.0,0.172119,0.046942,0.085349,0.066856,0.547653,1.987973,1.0,0.571835
7,ce55ecaa87931f40db2fc448a88af43b50cbed84642851d11882544b1d2f9bc8ce1a08ec30afa994637b3a8e69e7d0e9d3beee9d1b1301fe7ebe73076b75b4f4,N,100.0,2.0,O,Y,F,35.0,sstv,131,2,1,1,49.5,99.0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8,1d47cdbe7f7016e6c3f42cb08e37db55548481ffa31122e1a18a27ce9cbf48909626edb727951dca8222d839d8d72138b6ddadf0da7c4f0fb0e17723f23f2759,N,9.99,1.0,,N,N,40.0,ios,140,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,985ed8305ba05d88f22ad4b4dc1b832af4eb66d39d9ff5cd21613bf6ebc66258516a3ffa5afdf9e45160d505b5a18acab7e9a7dd6eb8b3b6d551a88e1ca46643,Y,100.0,1.0,O,Y,M,40.0,android,134,26,24,9,10.846154,26.0,80.0,3,8,170.0,11,6.0,4,0.22695,0.0,0.180851,0.056738,0.031915,0.06383,0.0,0.400709,0.0,0.039007,2.289851,1.0,0.429078
10,60881ae7798e9a1496e8e524b9291a6a4b0dab2f0e67a90772097ca8267f4a83c28bb02d340a9ed5daae3996202d13d3a551b9c8cdfa8c1e48510c247cd74390,Y,9.99,1.0,,Y,F,30.0,ios,140,4,1,2,42.5,0.0,170.0,0,4,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
