check_name,status,expected,actual,notes
public_root_exists,PASS,PUBLIC root exists,True,
input_validation_created,PASS,file exists,PUBLIC\handoff\PUBLIC_17_segmentation_semantic_hotfix_260520\17_hotfix_input_validation.csv,
hotfix_revalidation_passes_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_hotfix_revalidation_passes.csv,
content_preference_signal_audit_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_content_preference_signal_audit.csv,
hotfix_segment_rules_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_rules_hotfix.csv,
hotfix_segment_assignment_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,
segment_assignment_before_after_comparison_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_assignment_before_after_comparison.csv,
segment_summary_hotfix_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_summary_hotfix.csv,
other_needs_review_decomposition_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_other_needs_review_decomposition.csv,
segment_feature_profile_hotfix_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_feature_profile_hotfix.csv,
segment_shap_family_evidence_link_hotfix_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_SHAP_family_evidence_link_hotfix.csv,
demographic_profile_hotfix_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_demographic_profile_hotfix.csv,
age_gender_behavior_profile_hotfix_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_age_gender_behavior_profile_hotfix.csv,
action_personalization_matrix_hotfix_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_action_personalization_matrix_hotfix.csv,
business_action_candidates_hotfix_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_business_action_candidates_hotfix.csv,
executive_rationale_memo_hotfix_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_rationale_memo_for_executives_hotfix.md,
rationale_evidence_table_hotfix_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_rationale_evidence_table_hotfix.csv,
rejected_alternatives_memo_hotfix_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_caveat_and_rejected_alternatives_hotfix.md,
readiness_for_18_hotfix_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_readiness_for_18_business_storyline_hotfix.csv,
readme_created,PASS,file exists,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\README.md,
content_preference_signal_prevalence_checked,PASS,prevalence calculated,0.9705156513832964,
content_preference_signal_demoted_if_broad,PASS,broad flag demoted,True,
one_representative_segment_per_row,PASS,one per row,1,
executive_rationale_memo_minimum_length_checked,PASS,>=8000 bytes,28025,
segment_names_are_provisional,PASS,provisional caveat,checked,
