feature,family,vif,vif_band,matrix_status,corr_matrix_rank,feature_count_in_vif_matrix,condition_number,recommended_interpretation_action,excluded_from_vif_reason
price,membership,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_week1_watch_time,usage,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_genre_covered_watch_ratio,genre,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
max_screen,membership,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_w3_minus_w1_watch_time,usage,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_week1_ratio,usage,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_week3_sessions,usage,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_week2_sessions,usage,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_week1_sessions,usage,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_week3_watch_time,usage,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_content_has_watch_obs,content,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_week2_watch_time,usage,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_genre_watch_time_drama,genre,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
