section,metric,value,count,recommendation
summary,row_count,all,26366,Audit only.
summary,USER_KEY_cardinality,unique_USER_KEY,26315,USER_KEY is join key to Membership.
summary,USER_NUM_cardinality,unique_USER_NUM,26366,USER_NUM is join key to View_History.
pattern,one_to_one_USER_KEY_to_USER_NUM,distinct_USER_NUM_count_eq_1,26265,Safe to map without expansion at USER_KEY level.
pattern,one_to_many_USER_KEY_to_USER_NUM,distinct_USER_NUM_count_gt_1,50,Do not multiply Membership rows silently; aggregate logs back to membership_row_id.
pattern,many_to_one_USER_NUM_to_USER_KEY,distinct_USER_KEY_count_gt_1,0,Review before grouping by USER_NUM.
join_risk,membership_rows_that_would_duplicate_on_join,rows,205,Preserve membership_row_id and aggregate all mapped USER_NUM logs back to one row.
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,a0e40506661ca05143feb4a9949ffc4261c249ec29dcc68cdb8c88ec264a2bf6b7baac018ff0530823ddd5cb3efd72106ed0857f62fd97efeb7eab299ec83e72,2,303|1518
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,b4ef3e6518e866e89b69393c18b42f3770a1868d7496e70ea97aae3db2db13cef627f6b5fdc7ebf6e3c7cdb439e91905e8885298e01a8c6beaa98aad0d5715c0,2,773|14468
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,a50f9c29b7914f16ed84c7ebd23637c4b30ded58982095f8a937538e9e46671a585a7255f43fb35f9458eaf5138a46ee3a2f7d3c6a18c829ca005b03daa63c79,2,914|16813
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40c5c91b386249156c3a04e9030cd90126f481478b9df5c2501b933c4c64cdaa1bb82fc91,2,946|17460
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee26f98deca7a33e5a3f56218df401f2763754e1ede70abac7e3dc74b49244a80854017dd,2,1066|9112
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,03207f956c0a2d363285286b1a9ede62e03373a9242253c7d6d5fb99819d4eb983fc1191e4dda5dd1b15ad690f9f115c47140236a4887ee22e1ab344985982d5,2,1503|5706
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,638304111623b221d3535beb1e6aafe04b2794ba90a8a734b582c5faf8924ce6a62f5d5ceb06dd11348172e8ec8dbbe54401a71058c9073a413fb3755795fd88,2,1547|19206
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,56412a01be53adfa434e714d21ec717f17516ad6267c1364ea562057a9157f88c219b6a2688c96e3ecc486befb66becae99aa064e1df2177a8c2fb8e1002f564,2,1559|18852
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,07e8934c2a06f8b6e27296413d04e783282f9446ea0c8c983a99fbfcb6646e34c86e2ba3d365d822d0f6978b8b38a354b089e2caf0ffa9ab3c49df4151f13ac0,2,1781|3216
