duration_days,watch_date_lt_reg_date,watch_date_eq_reg_date,reg_date_le_watch_date_lt_end_date,watch_date_eq_end_date,watch_date_gt_end_date,missing_date,unclassified,no_mapped_USER_NUM,no_view_logs_for_mapped_USER_NUM,total_count
0,2,203,0,0,4303,0,0,0,0,4508
1,15,16,0,14,583,0,0,0,0,628
10,0,13,19,0,3,0,0,0,0,35
11,0,0,6,1,5,0,0,0,0,12
12,0,0,0,1,15,0,0,0,0,16
13,0,0,7,7,33,0,0,0,0,47
14,0,4,10,0,0,0,0,0,0,14
16,0,0,14,0,1,0,0,0,0,15
17,0,0,10,0,9,0,0,0,0,19
18,0,0,6,0,0,0,0,0,0,6
2,9,3,1,5,338,0,0,0,0,356
20,0,0,10,0,0,0,0,0,0,10
3,9,4,19,17,166,0,0,0,0,215
31,53,7193,137117,0,0,0,0,0,0,144363
32,2,1434,27967,0,2,0,0,0,2,29407
4,18,4,15,11,52,0,0,0,0,100
5,0,0,0,0,69,0,0,0,0,69
6,0,0,6,0,48,0,0,0,0,54
7,0,0,3,0,14,0,0,0,0,17
8,0,0,2,0,81,0,0,0,0,83
9,0,1,9,1,18,0,0,0,0,29
