section,MOVIE_NUM,source_row_number,duplicate_group_size,movie_master_row_count,movie_id_cardinality,duplicate_movie_id_count,conflicting_columns,expected_join_extra_rows_if_raw_joined_to_viewhistory,recommendation
summary,all,,,14502,14018,380,,48443,Deduplicate Movie_Master by MOVIE_NUM before joining to View_History; do not apply in Stage 01.
duplicate_movie_id_row,5,7,2,,,,,6,movie_title=국도극장|ott_release_month=202005|genre=Drama
duplicate_movie_id_row,5,8,2,,,,,6,movie_title=국도극장|ott_release_month=202005|genre=Drama
duplicate_movie_id_row,11,13,2,,,,,30,movie_title=앵그리버드더무비|ott_release_month=201606|genre=Animation/Family
duplicate_movie_id_row,11,14,2,,,,,30,movie_title=앵그리버드더무비|ott_release_month=201606|genre=Animation/Family
duplicate_movie_id_row,73,75,2,,,,,17,movie_title=한나|ott_release_month=201111|genre=Action/Adventure
duplicate_movie_id_row,73,76,2,,,,,17,movie_title=한나|ott_release_month=201111|genre=Action/Adventure
duplicate_movie_id_row,116,118,2,,,,,297,movie_title=미니언즈|ott_release_month=201701|genre=Animation/Family
duplicate_movie_id_row,116,119,2,,,,,297,movie_title=미니언즈|ott_release_month=201701|genre=Animation/Family
duplicate_movie_id_row,128,131,2,,,,,13,"movie_title=지금,만나러갑니다|ott_release_month=201304|genre=Romance"
duplicate_movie_id_row,128,132,2,,,,,13,"movie_title=지금,만나러갑니다|ott_release_month=201304|genre=Romance"
duplicate_movie_id_row,129,133,3,,,,,18,movie_title=더로드(2009)|ott_release_month=202002|genre=Documentary
duplicate_movie_id_row,129,134,3,,,,,18,movie_title=더로드(2009)|ott_release_month=202002|genre=Documentary
duplicate_movie_id_row,129,135,3,,,,,18,movie_title=더로드(2009)|ott_release_month=202002|genre=Documentary
duplicate_movie_id_row,243,244,2,,,,,3,movie_title=해피피트2|ott_release_month=201504|genre=Animation/Family
duplicate_movie_id_row,243,245,2,,,,,3,movie_title=해피피트2|ott_release_month=201504|genre=Animation/Family
duplicate_movie_id_row,251,253,2,,,,,1,movie_title=선물|ott_release_month=201310|genre=SF/Fantasy
duplicate_movie_id_row,251,254,2,,,,,1,movie_title=선물|ott_release_month=201310|genre=SF/Fantasy
duplicate_movie_id_row,313,314,2,,,,,3,movie_title=살인의뢰|ott_release_month=201701|genre=Thriller/Crime
duplicate_movie_id_row,313,315,2,,,,,3,movie_title=살인의뢰|ott_release_month=201701|genre=Thriller/Crime
duplicate_movie_id_row,324,326,2,,,,,9,movie_title=나를찾아줘|ott_release_month=201504|genre=Thriller/Crime
duplicate_movie_id_row,324,327,2,,,,,9,movie_title=나를찾아줘|ott_release_month=201504|genre=Thriller/Crime
duplicate_movie_id_row,362,363,2,,,,,108,movie_title=레고닌자고무비|ott_release_month=201710|genre=Animation/Family
duplicate_movie_id_row,362,364,2,,,,,108,movie_title=레고닌자고무비|ott_release_month=201710|genre=Animation/Family
duplicate_movie_id_row,375,376,2,,,,,177,movie_title=라따뚜이|ott_release_month=201405|genre=Animation/Family
duplicate_movie_id_row,375,377,2,,,,,177,movie_title=라따뚜이|ott_release_month=201405|genre=Animation/Family
duplicate_movie_id_row,388,389,2,,,,,5,"movie_title=소년,소녀를만나다(2016)|ott_release_month=201905|genre=Drama"
duplicate_movie_id_row,388,390,2,,,,,5,"movie_title=소년,소녀를만나다(2016)|ott_release_month=201905|genre=Drama"
duplicate_movie_id_row,421,420,2,,,,,0,movie_title=세이프하우스|ott_release_month=201206|genre=Action/Adventure
duplicate_movie_id_row,421,421,2,,,,,0,movie_title=세이프하우스|ott_release_month=201206|genre=Action/Adventure
duplicate_movie_id_row,445,444,2,,,,,100,movie_title=선물(2019)|ott_release_month=201910|genre=SF/Fantasy
duplicate_movie_id_row,445,445,2,,,,,100,movie_title=선물(2019)|ott_release_month=201910|genre=SF/Fantasy
duplicate_movie_id_row,446,446,3,,,,,10,movie_title=정글(2018)|ott_release_month=201806|genre=Drama
duplicate_movie_id_row,446,447,3,,,,,10,movie_title=정글(2018)|ott_release_month=201806|genre=Drama
duplicate_movie_id_row,446,448,3,,,,,10,movie_title=정글(2018)|ott_release_month=201806|genre=Drama
duplicate_movie_id_row,462,463,2,,,,,38,movie_title=페르디난드|ott_release_month=201802|genre=Action/Adventure
duplicate_movie_id_row,462,464,2,,,,,38,movie_title=페르디난드|ott_release_month=201802|genre=Action/Adventure
duplicate_movie_id_row,465,467,2,,,,,550,movie_title=스머프:비밀의숲|ott_release_month=201706|genre=Animation/Family
duplicate_movie_id_row,465,468,2,,,,,550,movie_title=스머프:비밀의숲|ott_release_month=201706|genre=Animation/Family
duplicate_movie_id_row,473,476,2,,,,,10,movie_title=순수의시대(2014)|ott_release_month=201503|genre=Historical/War
duplicate_movie_id_row,473,477,2,,,,,10,movie_title=순수의시대(2014)|ott_release_month=201503|genre=Historical/War
duplicate_movie_id_row,561,558,2,,,,,7,movie_title=나를찾아줘(2019)|ott_release_month=201912|genre=Thriller/Crime
duplicate_movie_id_row,561,559,2,,,,,7,movie_title=나를찾아줘(2019)|ott_release_month=201912|genre=Thriller/Crime
duplicate_movie_id_row,594,591,2,,,,,2,movie_title=홀로코스트|ott_release_month=201507|genre=Historical/War
duplicate_movie_id_row,594,592,2,,,,,2,movie_title=홀로코스트|ott_release_month=201507|genre=Historical/War
