check_name,passed
repo_root_checked,True
repo_root_matches_expected,True
source_file_exists,True
source_file_inside_park_ingyeom,True
required_06_files_exist,True
required_05b_files_exist,True
required_07_files_exist,True
required_08_success_files_exist,True
required_08b_files_exist,True
notebook_inside_park_ingyeom,True
output_folder_inside_park_ingyeom,True
zip_inside_park_ingyeom,True
no_files_written_outside_park_ingyeom,True
no_py_script_created,True
no_existing_notebook_modified,True
no_source_csv_modified,True
no_08_outputs_overwritten,True
no_08b_outputs_overwritten,True
no_files_deleted,True
no_modeling_performed,True
no_predictions_created,True
no_repurchase_score_created,True
no_churn_risk_created,True
no_shap_performed,True
no_optuna_performed,True
no_statistical_tests_performed,True
no_p_values_created,True
no_feature_engineering_performed,True
no_additional_rows_excluded,True
no_review_columns_used_as_standard_features,True
no_forbidden_columns_used_as_standard_features,True
primary_main_cohort_row_count_is_23079,True
conservative_feature_count_is_22,True
2x2_cohort_definition_created,True
promotion_internal_target_difference_created,True
nonpromotion_internal_target_difference_created,True
cross_group_signal_comparison_created,True
08_vs_09_contrast_created,True
AARRR_2x2_summary_created,True
safe_unsafe_wording_created,True
open_risks_created,True
readme_created,True
note_md_updated,True
review_zip_created,True
notebook_saved_with_outputs,True
