feature_name,AARRR_stage_primary,feature_family,cohort_name,is_promotion,is_repurchase,n,missing_count,mean,std,min,q10,q25,median,q75,q90,max,zero_count,zero_rate,positive_count,positive_rate
avg_gap_w1_watch_days,retention,usage_observation,nonpromotion_repurchase,0,1,8520,0,0.6916040685446009,1.2537196931917796,0.0,0.0,0.0,0.0,1.0,2.5,6.0,5721,0.6714788732394367,2799,0.3285211267605634
avg_gap_w1_watch_days,retention,usage_observation,nonpromotion_nonrepurchase,0,0,2655,0,0.6051475197740113,1.173616431580025,0.0,0.0,0.0,0.0,1.0,2.0,6.0,1848,0.696045197740113,807,0.303954802259887
avg_gap_w1_watch_days,retention,usage_observation,promotion_repurchase,1,1,8037,0,0.6924121774293891,1.244514222871434,0.0,0.0,0.0,0.0,1.0,2.0,6.0,5395,0.6712703745178549,2642,0.32872962548214507
avg_gap_w1_watch_days,retention,usage_observation,promotion_nonrepurchase,1,0,3867,0,0.6429230243082493,1.2087452340090492,0.0,0.0,0.0,0.0,1.0,2.0,6.0,2644,0.6837341608482027,1223,0.31626583915179723
avg_gap_w2_watch_days,retention,usage_observation,nonpromotion_repurchase,0,1,8520,0,0.7123337241784037,1.1972123162088457,0.0,0.0,0.0,0.0,1.0,2.0,6.0,5407,0.6346244131455399,3113,0.3653755868544601
avg_gap_w2_watch_days,retention,usage_observation,nonpromotion_nonrepurchase,0,0,2655,0,0.39950408097928436,0.9840521999799179,0.0,0.0,0.0,0.0,0.0,1.666667,6.0,2133,0.8033898305084746,522,0.19661016949152543
avg_gap_w2_watch_days,retention,usage_observation,promotion_repurchase,1,1,8037,0,0.7472668076396665,1.2435318512300109,0.0,0.0,0.0,0.0,1.0,2.5,6.0,5047,0.6279706358093816,2990,0.3720293641906184
avg_gap_w2_watch_days,retention,usage_observation,promotion_nonrepurchase,1,0,3867,0,0.4819153519524179,1.0837320363380156,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2965,0.7667442461856736,902,0.23325575381432634
avg_gap_w3_watch_days,retention,usage_observation,nonpromotion_repurchase,0,1,8520,0,0.8001310647887324,1.2842311337360666,0.0,0.0,0.0,0.0,1.0,2.5,6.0,5184,0.6084507042253521,3336,0.39154929577464787
avg_gap_w3_watch_days,retention,usage_observation,nonpromotion_nonrepurchase,0,0,2655,0,0.21729441318267417,0.8081944360371742,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2395,0.9020715630885122,260,0.09792843691148775
