promo_scope,feature_name,coefficient,abs_coefficient,standardized_or_scaled,rank,feature_family,direction_for_repurchase_score,interpretation_caveat,notes
promo0,log_retention_w3_ratio,1.0408619548937237,1.0408619548937237,scaled_by_StandardScaler_before_fit,1,retention_decay,increases_repurchase_score,"Coefficient is model explanation, not causality. Churn-risk direction is inverse.",LR baseline linear explanation.
promo0,avg_ott_release_year,-0.700611552702124,0.700611552702124,scaled_by_StandardScaler_before_fit,2,content_preference,decreases_repurchase_score,"Coefficient is model explanation, not causality. Churn-risk direction is inverse.",LR baseline linear explanation.
promo0,genre_diversity_count,0.6682437680797365,0.6682437680797365,scaled_by_StandardScaler_before_fit,3,genre_preference,increases_repurchase_score,"Coefficient is model explanation, not causality. Churn-risk direction is inverse.",LR baseline linear explanation.
promo0,log_retention_w2_ratio,0.6564553578581048,0.6564553578581048,scaled_by_StandardScaler_before_fit,4,retention_decay,increases_repurchase_score,"Coefficient is model explanation, not causality. Churn-risk direction is inverse.",LR baseline linear explanation.
promo0,max_inactive_gap_days,0.5758397524769531,0.5758397524769531,scaled_by_StandardScaler_before_fit,5,technical_or_unknown,increases_repurchase_score,"Coefficient is model explanation, not causality. Churn-risk direction is inverse.",LR baseline linear explanation.
promo0,thriller_crime_ratio,-0.5019699648527575,0.5019699648527575,scaled_by_StandardScaler_before_fit,6,genre_preference,decreases_repurchase_score,"Coefficient is model explanation, not causality. Churn-risk direction is inverse.",LR baseline linear explanation.
promo0,is_w2_over_50pct,0.4974496254426207,0.4974496254426207,scaled_by_StandardScaler_before_fit,7,weekly_usage,increases_repurchase_score,"Coefficient is model explanation, not causality. Churn-risk direction is inverse.",LR baseline linear explanation.
promo0,avg_watch_time_min,0.47589677971182404,0.47589677971182404,scaled_by_StandardScaler_before_fit,8,weekly_usage,increases_repurchase_score,"Coefficient is model explanation, not causality. Churn-risk direction is inverse.",LR baseline linear explanation.
promo0,recency,0.4619475127545684,0.4619475127545684,scaled_by_StandardScaler_before_fit,9,technical_or_unknown,increases_repurchase_score,"Coefficient is model explanation, not causality. Churn-risk direction is inverse.",LR baseline linear explanation.
promo0,action_adventure_ratio,-0.41941437742455145,0.41941437742455145,scaled_by_StandardScaler_before_fit,10,genre_preference,decreases_repurchase_score,"Coefficient is model explanation, not causality. Churn-risk direction is inverse.",LR baseline linear explanation.
promo0,is_w3_over_50pct,0.40813138006130123,0.40813138006130123,scaled_by_StandardScaler_before_fit,11,weekly_usage,increases_repurchase_score,"Coefficient is model explanation, not causality. Churn-risk direction is inverse.",LR baseline linear explanation.
