model_family,promo_scope,feature_name,mean_abs_shap,rank,feature_family,interpretation_caveat,notes
LogisticRegression,promo0,log_retention_w3_ratio,0.7782463855612568,1,retention_decay,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
LogisticRegression,promo0,genre_diversity_count,0.5361599519558375,2,genre_preference,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
LogisticRegression,promo0,log_retention_w2_ratio,0.4982011884241238,3,retention_decay,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
LogisticRegression,promo0,is_w2_over_50pct,0.48457436966105494,4,weekly_usage,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
LogisticRegression,promo0,max_inactive_gap_days,0.4825311629015478,5,technical_or_unknown,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
LogisticRegression,promo0,avg_watch_time_min,0.37766610442363474,6,weekly_usage,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
LogisticRegression,promo0,recency,0.3695511937767772,7,technical_or_unknown,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
LogisticRegression,promo0,is_w3_over_50pct,0.3687137868922631,8,weekly_usage,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
LogisticRegression,promo0,avg_ott_release_year,0.3371916794687909,9,content_preference,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
LogisticRegression,promo0,thriller_crime_ratio,0.3314652813700293,10,genre_preference,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
LogisticRegression,promo0,action_adventure_ratio,0.2723509423289483,11,genre_preference,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
LogisticRegression,promo0,max_day_share,0.2662094958914803,12,technical_or_unknown,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
LogisticRegression,promo0,watch_ratio_under_1m,0.22967113168389133,13,weekly_usage,"SHAP is model explanation, not causality.",Positive class is is_repurchase=1.
