stage08_segment,stage08_segment_flag,holdout_n,holdout_churn_rate,holdout_lift,small_n_lt_100,lift_near_or_below_1,high_overlap,max_overlap_ratio,too_broad,action_weak,misleading_name_review,automatic_review_flag,decision,refined_role,new_key,new_korean_name,reason
delayed_start,seg_delayed_start,311,0.1864951768488746,0.6498085046003458,N,Y,Y,0.8160190325138779,N,N,N,Y,modifier_only,explanatory_modifier,modifier_delayed_start,시작 지연 modifier,Useful for explanation but not strong enough as a standalone final segment.
early_routine_stable,seg_early_routine_stable,91,0.5054945054945055,1.7613036125071138,Y,N,Y,0.805528134254689,N,N,Y: stable name conflicts with elevated churn lift,Y,rename_downplay,explanatory_modifier_only,modifier_early_routine_review,초기 루틴 재검토 modifier,Stable wording conflicts with observed elevated churn in the hierarchical segment.
general_other,,22,0.2727272727272727,0.950268549830913,Y,Y,N,,N,Y,Y: residual group is not an interpretable segment,Y,drop_from_presentation,residual_audit_only,low_risk_or_general_maintenance,저위험/일반 유지군,Residual group has weak actionability; only retained through final risk-band based maintenance assignment.
genre_affinity_action_adventure,seg_genre_affinity_action_adventure,163,0.3619631901840491,1.2611948647040137,N,N,Y,0.7941422594142259,N,N,N,Y,merge,explanatory_modifier_or_content_action_layer,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Merged with other genre affinities to avoid many small final groups.
genre_affinity_animation_family,seg_genre_affinity_animation_family,401,0.2169576059850374,0.7559492952520231,N,Y,Y,0.7972858354537744,N,N,N,Y,merge,explanatory_modifier_or_content_action_layer,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Merged with other genre affinities to avoid many small final groups.
genre_affinity_drama,seg_genre_affinity_drama,282,0.2234042553191489,0.7784114716700032,N,Y,Y,0.8085284280936454,N,N,N,Y,merge,explanatory_modifier_or_content_action_layer,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Merged with other genre affinities to avoid many small final groups.
genre_affinity_thriller_crime,seg_genre_affinity_thriller_crime,444,0.3198198198198198,1.1143539600870018,N,N,Y,0.8100418410041841,N,N,N,Y,merge,explanatory_modifier_or_content_action_layer,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Merged with other genre affinities to avoid many small final groups.
high_price_or_promotion_sensitive,seg_high_price_or_promotion_sensitive,147,0.2517006802721088,0.8770052149233144,N,Y,N,0.3488854328667704,Y,N,"Y: broad overlapping attribute, better as modifier",Y,modifier_only,membership_context_modifier,modifier_price_promotion_context,가격/프로모션 맥락 modifier,Broad and highly overlapping attribute; not a clean standalone segment.
late_heavy_week3_intensive,seg_late_heavy_week3_intensive,1148,0.0775261324041811,0.2701256998503089,N,Y,Y,0.7909698996655519,N,N,"Y: should be framed as retained or engaged behavior, not risk",Y,rename_keep,low_risk_retention_candidate,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,"Observed churn is low, so this is reframed as engaged or retained behavior."
low_or_no_early_engagement,seg_low_or_no_early_engagement,1273,0.3212882953652788,1.1194705958861686,N,N,Y,0.8132930513595166,N,N,N,Y,keep_refine,primary_targeting_segment_inside_high_risk_band,risk_10_30_low_engagement,초기 저관여 고위험군,Useful when paired with high-risk bands; not used as a standalone replacement for risk score.
top_decile_high_churn_risk,seg_top_decile_high_churn_risk,478,0.7845188284518828,2.733513087902731,N,N,Y,0.8786610878661087,N,N,N,Y,keep,primary_targeting_segment,top_decile_high_churn_risk,최상위 이탈위험군,Risk score top decile has the strongest holdout churn lift and capture rate.
week2_surge_users,seg_week2_surge_users,17,0.0,0.0,Y,Y,Y,0.8023352793994996,N,N,Y: hierarchy sample is too small for presentation,Y,drop_from_presentation,audit_only_modifier,modifier_week2_surge_small_sample,2주차 상승 소표본 modifier,"Hierarchy holdout n is below 100, so it is unstable for presentation."
